maneuver,segment_index,line_integral_value,lane
0,0,"[5.240955595501716e-06, 7.023411934803457e-07, 8.685948361635152e-07, 3.670332044234137e-07, 3.240710412929719e-08, 7.132925752625884e-09, 9.94069846996908e-09, 1.3024528246866071e-08, 1.5833653279983535e-08, 1.8572957136635106e-08, 2.0997028480964923e-08, 2.3354709842906788e-08, 2.5587179602464618e-08, 2.7877704996085224e-08, 3.022815138294507e-08, 3.1474616553672515e-08, 3.277402536549687e-08, 3.4173883553812704e-08, 3.568326905708456e-08, 3.73084312636309e-08, 3.905186228824379e-08, 4.092203582855852e-08, 4.292346722139853e-08, 4.5060437198376815e-08, 4.733547833062598e-08, 4.9752151310352474e-08, 5.2315053685510384e-08, 5.502980670524886e-08, 5.790217857434706e-08, 6.093704975249914e-08, 6.413752271108763e-08, 6.750446801718185e-08, 7.10359627728265e-08, 7.472721815968698e-08, 7.857102572122941e-08, 8.255866471876725e-08, 8.668193593848873e-08, 9.093499963930681e-08, 9.531687462123184e-08, 9.983268836287475e-08, 1.0449562023985451e-07, 1.0932953828767585e-07, 1.143724549333029e-07, 1.1967801986350632e-07, 1.2531272233078162e-07, 1.3134588144843688e-07, 1.3783572907366782e-07, 1.4481589706224389e-07, 1.5228794336655348e-07, 1.602210406962277e-07]",2
0,1,"[5.641428676701386e-06, 7.118702890684356e-07, 8.1410935461262e-07, 2.9042520440435765e-07, 1.979543658483832e-08, 7.341891412692526e-09, 1.026563823135349e-08, 1.3450272105698696e-08, 1.6351221403685834e-08, 1.9180067220886074e-08, 2.1683376251883654e-08, 2.411812515453836e-08, 2.6423569556413078e-08, 2.8788967306356365e-08, 3.023357023058865e-08, 3.14746165536725e-08, 3.2774025365496885e-08, 3.417388355381269e-08, 3.568326905708455e-08, 3.730843126363089e-08, 3.90518622882438e-08, 4.092203582855852e-08, 4.292346722139853e-08, 4.506043719837683e-08, 4.7335478330625964e-08, 4.975215131035247e-08, 5.231505368551039e-08, 5.502980670524886e-08, 5.790217857434706e-08, 6.093704975249915e-08, 6.413752271108763e-08, 6.750446801718185e-08, 7.103596277282648e-08, 7.472721815968698e-08, 7.857102572122941e-08, 8.255866471876724e-08, 8.668193593848877e-08, 9.093499963930681e-08, 9.531687462123186e-08, 9.983268836287474e-08, 1.0449562023985453e-07, 1.0932953828767586e-07, 1.143724549333029e-07, 1.1967801986350632e-07, 1.2531272233078164e-07, 1.3134588144843685e-07, 1.3783572907366782e-07, 1.4481589706224394e-07, 1.5228794336655353e-07, 1.6022104069622773e-07]",2
0,2,"[5.682289503866694e-06, 7.267629623125444e-07, 8.009220317181617e-07, 2.637865171363168e-07, 1.6304265522489918e-08, 7.558252182541025e-09, 1.0573013304262739e-08, 1.3853001916467881e-08, 1.6840811818660518e-08, 1.9754359308191503e-08, 2.233262274638827e-08, 2.484027321989084e-08, 2.721474754029877e-08, 2.9034352825290684e-08, 3.023357023058865e-08, 3.147461655367251e-08, 3.277402536549688e-08, 3.4173883553812704e-08, 3.5683269057084554e-08, 3.73084312636309e-08, 3.905186228824379e-08, 4.092203582855851e-08, 4.292346722139853e-08, 4.5060437198376815e-08, 4.733547833062597e-08, 4.975215131035248e-08, 5.231505368551038e-08, 5.5029806705248865e-08, 5.790217857434705e-08, 6.093704975249914e-08, 6.413752271108763e-08, 6.750446801718185e-08, 7.103596277282649e-08, 7.4727218159687e-08, 7.857102572122941e-08, 8.255866471876725e-08, 8.668193593848876e-08, 9.093499963930681e-08, 9.531687462123186e-08, 9.983268836287474e-08, 1.0449562023985451e-07, 1.0932953828767585e-07, 1.143724549333029e-07, 1.196780198635063e-07, 1.2531272233078164e-07, 1.3134588144843685e-07, 1.378357290736678e-07, 1.448158970622439e-07, 1.522879433665535e-07, 1.6022104069622773e-07]",2
0,3,"[5.780657334663901e-06, 7.422373222434159e-07, 7.785660473905696e-07, 2.305643558490185e-07, 1.2889978040743456e-08, 7.80805491167491e-09, 1.0925336621878155e-08, 1.4314623925516133e-08, 1.7401996277639918e-08, 2.0412631579161746e-08, 2.3076810196997752e-08, 2.5668022822339262e-08, 2.7816011025977838e-08, 2.9034352825290687e-08, 3.023357023058865e-08, 3.147461655367251e-08, 3.277402536549687e-08, 3.4173883553812704e-08, 3.5683269057084554e-08, 3.73084312636309e-08, 3.9051862288243784e-08, 4.092203582855852e-08, 4.292346722139854e-08, 4.5060437198376815e-08, 4.733547833062598e-08, 4.9752151310352474e-08, 5.231505368551039e-08, 5.502980670524887e-08, 5.790217857434706e-08, 6.093704975249915e-08, 6.413752271108763e-08, 6.750446801718185e-08, 7.103596277282649e-08, 7.472721815968698e-08, 7.85710257212294e-08, 8.255866471876727e-08, 8.668193593848873e-08, 9.093499963930684e-08, 9.531687462123186e-08, 9.983268836287475e-08, 1.0449562023985453e-07, 1.0932953828767585e-07, 1.1437245493330291e-07, 1.1967801986350632e-07, 1.2531272233078162e-07, 1.3134588144843685e-07, 1.3783572907366782e-07, 1.448158970622439e-07, 1.522879433665535e-07, 1.6022104069622773e-07]",2
0,4,"[5.974877555477183e-06, 7.505959352719996e-07, 7.422309118259918e-07, 1.9365613777212145e-07, 1.0102904829823159e-08, 8.006214168699478e-09, 1.1203829725570677e-08, 1.467951190941731e-08, 1.7845583155691613e-08, 2.093296127987858e-08, 2.3665051340563037e-08, 2.6322315463704273e-08, 2.7816011025977828e-08, 2.9034352825290684e-08, 3.0233570230588646e-08, 3.14746165536725e-08, 3.277402536549687e-08, 3.417388355381269e-08, 3.568326905708455e-08, 3.73084312636309e-08, 3.905186228824379e-08, 4.092203582855851e-08, 4.292346722139852e-08, 4.506043719837681e-08, 4.7335478330625964e-08, 4.9752151310352474e-08, 5.231505368551038e-08, 5.502980670524886e-08, 5.7902178574347057e-08, 6.093704975249914e-08, 6.413752271108762e-08, 6.750446801718185e-08, 7.103596277282649e-08, 7.472721815968698e-08, 7.85710257212294e-08, 8.255866471876725e-08, 8.668193593848875e-08, 9.09349996393068e-08, 9.531687462123184e-08, 9.983268836287475e-08, 1.0449562023985454e-07, 1.0932953828767583e-07, 1.1437245493330289e-07, 1.196780198635063e-07, 1.253127223307816e-07, 1.3134588144843685e-07, 1.378357290736678e-07, 1.4481589706224394e-07, 1.522879433665535e-07, 1.6022104069622768e-07]",2
0,5,"[6.24779167589865e-06, 7.608550142041506e-07, 6.941180732685796e-07, 1.5247352298437514e-07, 7.943584508930273e-09, 8.271310793781374e-09, 1.1575253403927178e-08, 1.5166159640092223e-08, 1.8437190873909848e-08, 2.1626920191184306e-08, 2.4449583115342425e-08, 2.657485350010279e-08, 2.781601102597783e-08, 2.9034352825290687e-08, 3.0233570230588646e-08, 3.147461655367251e-08, 3.277402536549688e-08, 3.4173883553812704e-08, 3.5683269057084554e-08, 3.73084312636309e-08, 3.9051862288243784e-08, 4.0922035828558525e-08, 4.2923467221398524e-08, 4.5060437198376815e-08, 4.733547833062598e-08, 4.9752151310352474e-08, 5.2315053685510384e-08, 5.502980670524885e-08, 5.790217857434705e-08, 6.093704975249915e-08, 6.413752271108762e-08, 6.750446801718185e-08, 7.103596277282649e-08, 7.472721815968698e-08, 7.857102572122941e-08, 8.255866471876725e-08, 8.668193593848875e-08, 9.093499963930682e-08, 9.531687462123184e-08, 9.983268836287474e-08, 1.0449562023985454e-07, 1.0932953828767586e-07, 1.1437245493330291e-07, 1.1967801986350632e-07, 1.2531272233078162e-07, 1.3134588144843688e-07, 1.378357290736678e-07, 1.4481589706224394e-07, 1.522879433665535e-07, 1.6022104069622776e-07]",2
0,6,"[6.422799795675446e-06, 7.67227108198677e-07, 6.576319082311905e-07, 1.265821646073372e-07, 7.042324266027004e-09, 8.463949484455757e-09, 1.1844922780319318e-08, 1.5519486575554366e-08, 1.88667232212279e-08, 2.213076385470709e-08, 2.5019186527180065e-08, 2.6574853500102785e-08, 2.7816011025977835e-08, 2.9034352825290687e-08, 3.0233570230588646e-08, 3.147461655367251e-08, 3.2774025365496865e-08, 3.4173883553812704e-08, 3.568326905708456e-08, 3.7308431263630906e-08, 3.905186228824379e-08, 4.092203582855852e-08, 4.292346722139852e-08, 4.5060437198376815e-08, 4.733547833062598e-08, 4.9752151310352474e-08, 5.231505368551038e-08, 5.502980670524886e-08, 5.790217857434705e-08, 6.093704975249912e-08, 6.413752271108764e-08, 6.750446801718184e-08, 7.10359627728265e-08, 7.472721815968698e-08, 7.85710257212294e-08, 8.255866471876725e-08, 8.668193593848875e-08, 9.093499963930682e-08, 9.531687462123186e-08, 9.983268836287474e-08, 1.0449562023985453e-07, 1.0932953828767587e-07, 1.143724549333029e-07, 1.1967801986350632e-07, 1.253127223307816e-07, 1.3134588144843685e-07, 1.3783572907366782e-07, 1.448158970622439e-07, 1.5228794336655353e-07, 1.602210406962277e-07]",2
0,7,"[6.512067412445829e-06, 7.795825792111973e-07, 6.275633435599398e-07, 1.058740281427339e-07, 6.5896682638965465e-09, 8.728047961679034e-09, 1.2214541290553668e-08, 1.6003769133916787e-08, 1.9455455647717056e-08, 2.2821350033953126e-08, 2.5197796239114644e-08, 2.657485350010279e-08, 2.7816011025977835e-08, 2.903435282529069e-08, 3.023357023058865e-08, 3.147461655367251e-08, 3.277402536549688e-08, 3.4173883553812704e-08, 3.5683269057084554e-08, 3.730843126363089e-08, 3.9051862288243803e-08, 4.092203582855852e-08, 4.292346722139853e-08, 4.506043719837682e-08, 4.733547833062597e-08, 4.9752151310352474e-08, 5.2315053685510384e-08, 5.502980670524887e-08, 5.7902178574347057e-08, 6.093704975249914e-08, 6.413752271108763e-08, 6.750446801718185e-08, 7.10359627728265e-08, 7.4727218159687e-08, 7.857102572122942e-08, 8.255866471876727e-08, 8.668193593848875e-08, 9.093499963930681e-08, 9.531687462123184e-08, 9.983268836287474e-08, 1.0449562023985455e-07, 1.0932953828767585e-07, 1.143724549333029e-07, 1.1967801986350632e-07, 1.2531272233078162e-07, 1.3134588144843685e-07, 1.378357290736678e-07, 1.4481589706224394e-07, 1.522879433665535e-07, 1.6022104069622773e-07]",2
0,8,"[6.549900304981358e-06, 7.867788212204821e-07, 6.047409404770182e-07, 9.266508630650592e-08, 6.40260376711617e-09, 8.904697516011832e-09, 1.2461760996393515e-08, 1.6327682001662015e-08, 1.9849229912979768e-08, 2.3283249282402622e-08, 2.5197796239114634e-08, 2.6574853500102785e-08, 2.781601102597783e-08, 2.9034352825290684e-08, 3.023357023058865e-08, 3.147461655367251e-08, 3.277402536549687e-08, 3.41738835538127e-08, 3.5683269057084554e-08, 3.730843126363089e-08, 3.905186228824379e-08, 4.092203582855852e-08, 4.292346722139853e-08, 4.5060437198376815e-08, 4.733547833062598e-08, 4.9752151310352474e-08, 5.2315053685510384e-08, 5.502980670524887e-08, 5.7902178574347057e-08, 6.093704975249914e-08, 6.413752271108764e-08, 6.750446801718185e-08, 7.103596277282649e-08, 7.4727218159687e-08, 7.857102572122941e-08, 8.255866471876725e-08, 8.668193593848876e-08, 9.093499963930681e-08, 9.531687462123186e-08, 9.983268836287474e-08, 1.0449562023985453e-07, 1.0932953828767585e-07, 1.143724549333029e-07, 1.1967801986350632e-07, 1.2531272233078162e-07, 1.3134588144843685e-07, 1.378357290736678e-07, 1.4481589706224389e-07, 1.5228794336655348e-07, 1.6022104069622773e-07]",2
0,9,"[6.964250651798474e-06, 7.873090489154883e-07, 5.388211811902138e-07, 6.511118539079743e-08, 6.1467157134825335e-09, 9.156677627634209e-09, 1.2814400525375036e-08, 1.678971831355184e-08, 2.0410918031471592e-08, 2.3698680681572327e-08, 2.5197796239114638e-08, 2.6574853500102795e-08, 2.7816011025977838e-08, 2.9034352825290687e-08, 3.0233570230588646e-08, 3.147461655367251e-08, 3.277402536549688e-08, 3.41738835538127e-08, 3.5683269057084554e-08, 3.730843126363089e-08, 3.9051862288243784e-08, 4.092203582855852e-08, 4.292346722139853e-08, 4.5060437198376815e-08, 4.733547833062597e-08, 4.975215131035247e-08, 5.231505368551038e-08, 5.502980670524886e-08, 5.790217857434705e-08, 6.093704975249912e-08, 6.413752271108763e-08, 6.750446801718184e-08, 7.103596277282649e-08, 7.472721815968698e-08, 7.85710257212294e-08, 8.255866471876724e-08, 8.668193593848876e-08, 9.093499963930682e-08, 9.531687462123184e-08, 9.983268836287474e-08, 1.0449562023985451e-07, 1.0932953828767585e-07, 1.1437245493330289e-07, 1.1967801986350632e-07, 1.2531272233078162e-07, 1.3134588144843685e-07, 1.378357290736678e-07, 1.4481589706224394e-07, 1.5228794336655348e-07, 1.6022104069622773e-07]",2
