,ID,time,xloc,yloc,lane,speed,acceleration,length-smoothed,width-smoothed,type-most-common,ACC
1848,0,190.8,0.7421249999999873,0.0,-2,8.1855,0.2525,2.73,3.54,small-vehicle,No
1849,0,190.9,1.5606749999999465,0.01999999999998181,-2,8.21075,0.255,2.73,3.5,small-vehicle,No
1850,0,191.0,2.381750000000011,0.030000000000001137,-2,8.23625,0.305,2.73,3.45,small-vehicle,No
1851,0,191.1,3.2053750000000036,0.04999999999998295,-2,8.26675,0.305,2.72,3.42,small-vehicle,No
1852,0,191.2,4.032050000000027,0.06999999999999318,-2,8.29725,0.305,2.72,3.38,small-vehicle,No
1853,0,191.3,4.86177500000008,0.07999999999998408,-2,8.32775,0.3525,2.72,3.35,small-vehicle,No
1854,0,191.4,5.694549999999936,0.09999999999999432,-2,8.363,0.3525,2.72,3.33,small-vehicle,No
1855,0,191.5,6.5308500000001,0.11999999999997613,-2,8.39825,0.2525,2.72,3.31,small-vehicle,No
1856,0,191.6,7.370674999999892,0.12999999999999545,-2,8.4235,0.25,2.73,3.29,small-vehicle,No
1857,0,191.7,8.213025000000016,0.14999999999997726,-2,8.4485,0.3,2.73,3.28,small-vehicle,No
1858,0,191.8,9.057874999999967,0.1699999999999875,-2,8.4785,0.2475,2.73,3.27,small-vehicle,No
1859,0,191.9,9.905725000000075,0.18999999999999773,-2,8.50325,0.195,2.73,3.26,small-vehicle,No
1860,0,192.0,10.75604999999996,0.20999999999997954,-2,8.52275,0.145,2.73,3.26,small-vehicle,No
1861,0,192.1,11.608324999999923,0.21999999999999886,-2,8.53725,0.145,2.73,3.26,small-vehicle,No
1862,0,192.2,12.46205000000009,0.23999999999998067,-2,8.55175,0.195,2.74,3.27,small-vehicle,No
1863,0,192.3,13.317225000000008,0.2599999999999909,-2,8.57125,0.145,2.74,3.28,small-vehicle,No
1864,0,192.4,14.174350000000004,0.28000000000000114,-2,8.58575,0.145,2.74,3.29,small-vehicle,No
1865,0,192.5,15.032924999999977,0.28999999999999204,-2,8.60025,0.1475,2.74,3.31,small-vehicle,No
1866,0,192.6,15.892949999999928,0.3100000000000023,-2,8.615,0.1475,2.75,3.33,small-vehicle,No
1867,0,192.7,16.754449999999906,0.3299999999999841,-2,8.62975,0.1475,2.75,3.36,small-vehicle,No
1868,0,192.8,17.617424999999912,0.3499999999999943,-2,8.6445,0.15,2.75,3.39,small-vehicle,No
1869,0,192.9,18.481874999999945,0.3699999999999761,-2,8.6595,0.2,2.75,3.42,small-vehicle,No
1870,0,193.0,19.347825000000057,0.37999999999999545,-2,8.6795,0.2,2.76,3.46,small-vehicle,No
1871,0,193.1,20.215774999999894,0.39999999999997726,-2,8.6995,0.2025,2.76,3.51,small-vehicle,No
1872,0,193.2,21.08572499999991,0.4199999999999875,-2,8.71975,0.2525,2.76,3.55,small-vehicle,No
1873,0,193.3,21.95769999999993,0.4399999999999977,-2,8.745,0.3025,2.77,3.6,small-vehicle,No
1874,0,193.4,22.832200000000057,0.44999999999998863,-2,8.77525,0.305,2.77,3.66,small-vehicle,No
1875,0,193.5,23.709724999999935,0.46999999999999886,-2,8.80575,0.305,2.78,3.72,small-vehicle,No
1876,0,193.6,24.59030000000007,0.4899999999999807,-2,8.83625,0.305,2.78,3.78,small-vehicle,No
1877,0,193.7,25.47392500000001,0.5,-2,8.86675,0.305,2.79,3.85,small-vehicle,No
1878,0,193.8,26.360599999999977,0.5199999999999818,-2,8.89725,0.305,2.79,3.92,small-vehicle,No
1879,0,193.9,27.250324999999975,0.539999999999992,-2,8.92775,0.305,2.79,3.99,small-vehicle,No
1880,0,194.0,28.143100000000004,0.5600000000000023,-2,8.95825,0.3025,2.8,4.07,small-vehicle,No
1881,0,194.1,29.038925000000063,0.5699999999999932,-2,8.9885,0.3,2.8,4.14,small-vehicle,No
1882,0,194.2,29.9377750000001,0.589999999999975,-2,9.0185,0.3,2.8,4.21,small-vehicle,No
4407,3,188.0,0.0006000000000767614,-0.21999999999999886,-2,8.4415,0.25,2.52,3.63,small-vehicle,No
4408,3,188.1,0.8447499999999764,-0.20000000000001705,-2,8.4665,0.3025,2.51,3.57,small-vehicle,No
4409,3,188.2,1.6913999999999305,-0.18999999999999773,-2,8.49675,0.305,2.51,3.5,small-vehicle,No
4410,3,188.3,2.5410750000000917,-0.17000000000001592,-2,8.52725,0.305,2.5,3.45,small-vehicle,No
4411,3,188.4,3.3938000000000557,-0.160000000000025,-2,8.55775,0.3575,2.5,3.4,small-vehicle,No
4412,3,188.5,4.24957500000005,-0.14000000000001478,-2,8.5935,0.3575,2.49,3.35,small-vehicle,No
4413,3,188.6,5.108924999999999,-0.13000000000002387,-2,8.62925,0.355,2.49,3.31,small-vehicle,No
4414,3,188.7,5.971849999999904,-0.12000000000000455,-2,8.66475,0.4025,2.48,3.27,small-vehicle,No
4415,3,188.8,6.838324999999941,-0.10000000000002274,-2,8.705,0.3525,2.48,3.24,small-vehicle,No
4416,3,188.9,7.708824999999933,-0.09000000000000341,-2,8.74025,0.3025,2.48,3.21,small-vehicle,No
4417,3,189.0,8.582850000000008,-0.0700000000000216,-2,8.7705,0.3,2.47,3.19,small-vehicle,No
4418,3,189.1,9.459900000000061,-0.060000000000002274,-2,8.8005,0.2975,2.47,3.17,small-vehicle,No
4419,3,189.2,10.339950000000044,-0.040000000000020464,-2,8.83025,0.2475,2.47,3.16,small-vehicle,No
4420,3,189.3,11.222974999999906,-0.030000000000001137,-2,8.855,0.2475,2.47,3.16,small-vehicle,No
4421,3,189.4,12.108474999999999,-0.010000000000019327,-2,8.87975,0.1925,2.47,3.16,small-vehicle,No
4422,3,189.5,12.996450000000095,0.0,-2,8.899,0.1425,2.47,3.16,small-vehicle,No
4423,3,189.6,13.886349999999993,0.01999999999998181,-2,8.91325,0.195,2.47,3.17,small-vehicle,No
4424,3,189.7,14.777675000000045,0.030000000000001137,-2,8.93275,0.145,2.47,3.18,small-vehicle,No
4425,3,189.8,15.670949999999948,0.04999999999998295,-2,8.94725,0.145,2.47,3.2,small-vehicle,No
4426,3,189.9,16.565675000000056,0.060000000000002274,-2,8.96175,0.1425,2.47,3.22,small-vehicle,No
4427,3,190.0,17.461849999999913,0.07999999999998408,-2,8.976,0.0925,2.48,3.25,small-vehicle,No
4428,3,190.1,18.359449999999924,0.08999999999997499,-2,8.98525,0.145,2.48,3.29,small-vehicle,No
4429,3,190.2,19.257974999999988,0.10999999999998522,-2,8.99975,0.145,2.48,3.33,small-vehicle,No
4430,3,190.3,20.157950000000028,0.12999999999999545,-2,9.01425,0.095,2.49,3.37,small-vehicle,No
4431,3,190.4,21.059375000000045,0.13999999999998636,-2,9.02375,0.0975,2.49,3.42,small-vehicle,No
