ID,time,xloc,yloc,old_xloc,old_yloc,line_integral_values,maneuver,Traj
0,"[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2.0, 2.1, 2.2, 2.3, 2.4, 2.5, 2.6, 2.7, 2.8, 2.9, 3.0, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 4.0, 4.1, 4.2, 4.3, 4.4, 4.5, 4.6, 4.7, 4.8, 4.9, 5.0]","[37.212725 38.12925  39.046725 39.96515  40.88505  41.806425 42.729275
 43.653625 44.579475 45.506825 46.43565  47.36595  48.29775  49.23105
 50.165325 51.10055  52.03675  52.973925 53.91205  54.85065  55.789725
 56.72925  57.669225 58.609675 59.5501   60.490975 61.4323   62.3736
 63.3149   64.256675 65.198925 66.141675 67.08495  68.02875  68.97355
 69.91935  70.86615  71.813475 72.7613   73.7096   74.6584   75.6077
 76.557475 77.507725 78.457975 79.408725 80.359975 81.311725 82.263975
 83.216725 84.170475]","[0.73 0.74 0.76 0.77 0.79 0.8  0.82 0.83 0.84 0.86 0.87 0.88 0.89 0.91
 0.92 0.93 0.94 0.95 0.96 0.97 0.98 0.99 1.   1.01 1.02 1.03 1.04 1.04
 1.05 1.06 1.06 1.07 1.07 1.08 1.08 1.09 1.09 1.09 1.09 1.1  1.1  1.1
 1.1  1.1  1.1  1.1  1.1  1.1  1.1  1.1  1.09]","[1807.212725 1808.12925  1809.046725 1809.96515  1810.88505  1811.806425
 1812.729275 1813.653625 1814.579475 1815.506825 1816.43565  1817.36595
 1818.29775  1819.23105  1820.165325 1821.10055  1822.03675  1822.973925
 1823.91205  1824.85065  1825.789725 1826.72925  1827.669225 1828.609675
 1829.5501   1830.490975 1831.4323   1832.3736   1833.3149   1834.256675
 1835.198925 1836.141675 1837.08495  1838.02875  1838.97355  1839.91935
 1840.86615  1841.813475 1842.7613   1843.7096   1844.6584   1845.6077
 1846.557475 1847.507725 1848.457975 1849.408725 1850.359975 1851.311725
 1852.263975 1853.216725 1854.170475]","[162.53 162.54 162.56 162.57 162.59 162.6  162.62 162.63 162.64 162.66
 162.67 162.68 162.69 162.71 162.72 162.73 162.74 162.75 162.76 162.77
 162.78 162.79 162.8  162.81 162.82 162.83 162.84 162.84 162.85 162.86
 162.86 162.87 162.87 162.88 162.88 162.89 162.89 162.89 162.89 162.9
 162.9  162.9  162.9  162.9  162.9  162.9  162.9  162.9  162.9  162.9
 162.89]",0.0868623732467134,6,A1
0,"[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2.0, 2.1, 2.2, 2.3, 2.4, 2.5, 2.6, 2.7, 2.8, 2.9, 3.0, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 4.0, 4.1, 4.2, 4.3, 4.4, 4.5, 4.6, 4.7, 4.8, 4.9, 5.0]","[ 62.70725   63.604025  64.500825  65.397125  66.292925  67.18875
  68.0846    68.980475  69.876875  70.7738    71.67075   72.567725
  73.464725  74.361725  75.258725  76.155725  77.052725  77.949725
  78.847225  79.745225  80.64325   81.5413    82.43985   83.338925
  84.238525  85.13865   86.0393    86.940975  87.8437    88.74745
  89.652225  90.558025  91.46485   92.3722    93.28005   94.1889
  95.09875   96.009075  96.919375  97.82965   98.7399    99.650125
 100.560325 101.4705   102.38115  103.2923   104.20345  105.1146
 106.02625  106.9384   107.85055 ]","[0.84 0.84 0.85 0.86 0.86 0.87 0.88 0.88 0.88 0.89 0.89 0.9  0.9  0.9
 0.9  0.9  0.9  0.89 0.89 0.89 0.88 0.88 0.88 0.87 0.87 0.86 0.85 0.85
 0.84 0.83 0.82 0.81 0.81 0.79 0.78 0.77 0.76 0.74 0.73 0.71 0.69 0.68
 0.66 0.64 0.62 0.6  0.58 0.56 0.54 0.52 0.49]","[1832.70725  1833.604025 1834.500825 1835.397125 1836.292925 1837.18875
 1838.0846   1838.980475 1839.876875 1840.7738   1841.67075  1842.567725
 1843.464725 1844.361725 1845.258725 1846.155725 1847.052725 1847.949725
 1848.847225 1849.745225 1850.64325  1851.5413   1852.43985  1853.338925
 1854.238525 1855.13865  1856.0393   1856.940975 1857.8437   1858.74745
 1859.652225 1860.558025 1861.46485  1862.3722   1863.28005  1864.1889
 1865.09875  1866.009075 1866.919375 1867.82965  1868.7399   1869.650125
 1870.560325 1871.4705   1872.38115  1873.2923   1874.20345  1875.1146
 1876.02625  1876.9384   1877.85055 ]","[162.64 162.64 162.65 162.66 162.66 162.67 162.68 162.68 162.68 162.69
 162.69 162.7  162.7  162.7  162.7  162.7  162.7  162.69 162.69 162.69
 162.68 162.68 162.68 162.67 162.67 162.66 162.65 162.65 162.64 162.63
 162.62 162.61 162.61 162.59 162.58 162.57 162.56 162.54 162.53 162.51
 162.49 162.48 162.46 162.44 162.42 162.4  162.38 162.36 162.34 162.32
 162.29]",6.927081339508281e-94,6,A2
0,"[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2.0, 2.1, 2.2, 2.3, 2.4, 2.5, 2.6, 2.7, 2.8, 2.9, 3.0, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 4.0, 4.1, 4.2, 4.3, 4.4, 4.5, 4.6, 4.7, 4.8, 4.9, 5.0]","[149.98295  150.792425 151.599975 152.4056   153.209775 154.0125
 154.8138   155.614175 156.413625 157.21215  158.009725 158.80635
 159.602025 160.39675  161.190525 161.98335  162.7757   163.567575
 164.358475 165.1484   165.93735  166.725825 167.513825 168.30135
 169.0884   169.874975 170.6616   171.448275 172.235525 173.02335
 173.811725 174.601175 175.3917   176.183275 176.9759   177.76905
 178.562725 179.356925 180.151625 180.9468   181.74195  182.537075
 183.331675 184.12575  184.9198   185.71385  186.507875 187.301875
 188.095375 188.888875 189.682875]","[-2.14 -2.18 -2.22 -2.27 -2.31 -2.36 -2.41 -2.45 -2.5  -2.55 -2.59 -2.64
 -2.69 -2.74 -2.79 -2.84 -2.9  -2.95 -3.   -3.05 -3.11 -3.16 -3.22 -3.27
 -3.33 -3.38 -3.44 -3.5  -3.55 -3.61 -3.67 -3.73 -3.79 -3.84 -3.9  -3.96
 -4.02 -4.08 -4.14 -4.2  -4.26 -4.32 -4.38 -4.44 -4.5  -4.56 -4.62 -4.68
 -4.74 -4.8  -4.86]","[1919.98295  1920.792425 1921.599975 1922.4056   1923.209775 1924.0125
 1924.8138   1925.614175 1926.413625 1927.21215  1928.009725 1928.80635
 1929.602025 1930.39675  1931.190525 1931.98335  1932.7757   1933.567575
 1934.358475 1935.1484   1935.93735  1936.725825 1937.513825 1938.30135
 1939.0884   1939.874975 1940.6616   1941.448275 1942.235525 1943.02335
 1943.811725 1944.601175 1945.3917   1946.183275 1946.9759   1947.76905
 1948.562725 1949.356925 1950.151625 1950.9468   1951.74195  1952.537075
 1953.331675 1954.12575  1954.9198   1955.71385  1956.507875 1957.301875
 1958.095375 1958.888875 1959.682875]","[159.66 159.62 159.58 159.53 159.49 159.44 159.39 159.35 159.3  159.25
 159.21 159.16 159.11 159.06 159.01 158.96 158.9  158.85 158.8  158.75
 158.69 158.64 158.58 158.53 158.47 158.42 158.36 158.3  158.25 158.19
 158.13 158.07 158.01 157.96 157.9  157.84 157.78 157.72 157.66 157.6
 157.54 157.48 157.42 157.36 157.3  157.24 157.18 157.12 157.06 157.
 156.94]",0.0,6,A4
0,"[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2.0, 2.1, 2.2, 2.3, 2.4, 2.5, 2.6, 2.7, 2.8, 2.9, 3.0, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 4.0, 4.1, 4.2, 4.3, 4.4, 4.5, 4.6, 4.7, 4.8, 4.9, 5.0]","[116.310175 117.27925  118.249775 119.22125  120.193675 121.16705
 122.141375 123.11665  124.092375 125.06855  126.04515  127.021675
 127.99815  128.97455  129.950375 130.925625 131.9003   132.8739
 133.846425 134.8179   135.788325 136.7577   137.726025 138.6933
 139.659525 140.6242   141.58735  142.549475 143.510575 144.470675
 145.430275 146.389375 147.347475 148.304575 149.261175 150.217275
 151.172375 152.12645  153.079    154.030025 154.979525 155.9275
 156.873925 157.818825 158.762725 159.705625 160.64755  161.5885
 162.52845  163.467925 164.40695 ]","[ 0.47  0.44  0.41  0.38  0.34  0.31  0.27  0.24  0.2   0.16  0.12  0.08
  0.04  0.   -0.04 -0.09 -0.13 -0.17 -0.22 -0.26 -0.31 -0.35 -0.4  -0.45
 -0.5  -0.55 -0.6  -0.65 -0.7  -0.75 -0.8  -0.86 -0.91 -0.96 -1.02 -1.08
 -1.13 -1.19 -1.25 -1.31 -1.37 -1.43 -1.49 -1.55 -1.61 -1.68 -1.74 -1.81
 -1.87 -1.94 -2.  ]","[1886.310175 1887.27925  1888.249775 1889.22125  1890.193675 1891.16705
 1892.141375 1893.11665  1894.092375 1895.06855  1896.04515  1897.021675
 1897.99815  1898.97455  1899.950375 1900.925625 1901.9003   1902.8739
 1903.846425 1904.8179   1905.788325 1906.7577   1907.726025 1908.6933
 1909.659525 1910.6242   1911.58735  1912.549475 1913.510575 1914.470675
 1915.430275 1916.389375 1917.347475 1918.304575 1919.261175 1920.217275
 1921.172375 1922.12645  1923.079    1924.030025 1924.979525 1925.9275
 1926.873925 1927.818825 1928.762725 1929.705625 1930.64755  1931.5885
 1932.52845  1933.467925 1934.40695 ]","[162.27 162.24 162.21 162.18 162.14 162.11 162.07 162.04 162.   161.96
 161.92 161.88 161.84 161.8  161.76 161.71 161.67 161.63 161.58 161.54
 161.49 161.45 161.4  161.35 161.3  161.25 161.2  161.15 161.1  161.05
 161.   160.94 160.89 160.84 160.78 160.72 160.67 160.61 160.55 160.49
 160.43 160.37 160.31 160.25 160.19 160.12 160.06 159.99 159.93 159.86
 159.8 ]",0.0,6,A5
0,"[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2.0, 2.1, 2.2, 2.3, 2.4, 2.5, 2.6, 2.7, 2.8, 2.9, 3.0, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 4.0, 4.1, 4.2, 4.3, 4.4, 4.5, 4.6, 4.7, 4.8, 4.9, 5.0]","[ 92.232775  93.099725  93.966675  94.833625  95.700575  96.567525
  97.4345    98.3015    99.1685   100.0355   100.9025   101.7695
 102.637025 103.505075 104.373125 105.241175 106.10975  106.97885
 107.848475 108.71915  109.59085  110.463575 111.337325 112.2116
 113.0864   113.9622   114.839    115.7163   116.5941   117.4729
 118.352225 119.232075 120.112925 120.994775 121.877125 122.759975
 123.643825 124.528675 125.414025 126.299875 127.1862   128.073
 128.9603   129.8476   130.7354   131.623675 132.512425 133.401675
 134.290925 135.180675 136.0709  ]","[ 0.47  0.46  0.46  0.45  0.45  0.44  0.44  0.43  0.42  0.42  0.41  0.4
  0.39  0.38  0.37  0.35  0.34  0.33  0.31  0.3   0.28  0.27  0.25  0.23
  0.21  0.19  0.17  0.15  0.12  0.1   0.07  0.05  0.02 -0.01 -0.04 -0.07
 -0.1  -0.13 -0.16 -0.2  -0.23 -0.27 -0.3  -0.34 -0.38 -0.42 -0.46 -0.5
 -0.54 -0.58 -0.63]","[1862.232775 1863.099725 1863.966675 1864.833625 1865.700575 1866.567525
 1867.4345   1868.3015   1869.1685   1870.0355   1870.9025   1871.7695
 1872.637025 1873.505075 1874.373125 1875.241175 1876.10975  1876.97885
 1877.848475 1878.71915  1879.59085  1880.463575 1881.337325 1882.2116
 1883.0864   1883.9622   1884.839    1885.7163   1886.5941   1887.4729
 1888.352225 1889.232075 1890.112925 1890.994775 1891.877125 1892.759975
 1893.643825 1894.528675 1895.414025 1896.299875 1897.1862   1898.073
 1898.9603   1899.8476   1900.7354   1901.623675 1902.512425 1903.401675
 1904.290925 1905.180675 1906.0709  ]","[162.27 162.26 162.26 162.25 162.25 162.24 162.24 162.23 162.22 162.22
 162.21 162.2  162.19 162.18 162.17 162.15 162.14 162.13 162.11 162.1
 162.08 162.07 162.05 162.03 162.01 161.99 161.97 161.95 161.92 161.9
 161.87 161.85 161.82 161.79 161.76 161.73 161.7  161.67 161.64 161.6
 161.57 161.53 161.5  161.46 161.42 161.38 161.34 161.3  161.26 161.22
 161.17]",0.0,6,A6
0,"[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2.0, 2.1, 2.2, 2.3, 2.4, 2.5, 2.6, 2.7, 2.8, 2.9, 3.0, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 4.0, 4.1, 4.2, 4.3, 4.4, 4.5, 4.6, 4.7, 4.8, 4.9, 5.0]","[202.018175 202.734975 203.452775 204.171075 204.889375 205.608175
 206.32745  207.0472   207.76745  208.4877   209.20845  209.929675
 210.650875 211.37205  212.0932   212.813825 213.5339   214.253925
 214.973425 215.6919   216.409825 217.1272   217.84355  218.558875
 219.27315  219.9864   220.698625 221.410325 222.12155  222.8323
 223.54305  224.253825 224.96465  225.6755   226.386375 227.097275
 227.808175 228.5191   229.23005  229.941    230.65195  231.3634
 232.075375 232.787375 233.4999   234.212975 234.926575 235.6412
 236.3574   237.075175 237.7945  ]","[-5.13 -5.19 -5.25 -5.32 -5.38 -5.45 -5.51 -5.57 -5.64 -5.7  -5.77 -5.83
 -5.89 -5.96 -6.02 -6.09 -6.15 -6.22 -6.29 -6.35 -6.42 -6.49 -6.55 -6.62
 -6.69 -6.76 -6.83 -6.9  -6.96 -7.03 -7.1  -7.17 -7.24 -7.31 -7.38 -7.45
 -7.51 -7.58 -7.65 -7.72 -7.8  -7.87 -7.94 -8.01 -8.08 -8.15 -8.22 -8.29
 -8.37 -8.44 -8.51]","[1972.018175 1972.734975 1973.452775 1974.171075 1974.889375 1975.608175
 1976.32745  1977.0472   1977.76745  1978.4877   1979.20845  1979.929675
 1980.650875 1981.37205  1982.0932   1982.813825 1983.5339   1984.253925
 1984.973425 1985.6919   1986.409825 1987.1272   1987.84355  1988.558875
 1989.27315  1989.9864   1990.698625 1991.410325 1992.12155  1992.8323
 1993.54305  1994.253825 1994.96465  1995.6755   1996.386375 1997.097275
 1997.808175 1998.5191   1999.23005  1999.941    2000.65195  2001.3634
 2002.075375 2002.787375 2003.4999   2004.212975 2004.926575 2005.6412
 2006.3574   2007.075175 2007.7945  ]","[156.67 156.61 156.55 156.48 156.42 156.35 156.29 156.23 156.16 156.1
 156.03 155.97 155.91 155.84 155.78 155.71 155.65 155.58 155.51 155.45
 155.38 155.31 155.25 155.18 155.11 155.04 154.97 154.9  154.84 154.77
 154.7  154.63 154.56 154.49 154.42 154.35 154.29 154.22 154.15 154.08
 154.   153.93 153.86 153.79 153.72 153.65 153.58 153.51 153.43 153.36
 153.29]",0.0,6,A7
0,"[0.0, 0.1, 0.2]",[225.305825 225.734225 226.156975],[-7.63 -7.65 -7.67],[1995.305825 1995.734225 1996.156975],[154.17 154.15 154.13],0.0,6,A8
0,"[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2.0, 2.1, 2.2, 2.3, 2.4, 2.5, 2.6, 2.7, 2.8, 2.9, 3.0, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 4.0, 4.1, 4.2, 4.3, 4.4, 4.5, 4.6, 4.7, 4.8, 4.9, 5.0]","[189.577075 190.2788   190.98205  191.6868   192.39355  193.1018
 193.81155  194.5228   195.23555  195.9498   196.665025 197.381225
 198.0984   198.81655  199.535175 200.25425  200.973775 201.69375
 202.414175 203.13455  203.854875 204.575175 205.29545  206.015175
 206.73435  207.4535   208.172625 208.891725 209.61135  210.3315
 211.05215  211.773825 212.496025 213.218725 213.941925 214.6651
 215.38825  216.11085  216.832375 217.552825 218.2717   218.989
 219.704725 220.4184   221.130525 221.8416   222.55115  223.2592
 223.96675  224.6738   225.380375]","[-4.65 -4.7  -4.76 -4.82 -4.87 -4.93 -4.99 -5.04 -5.1  -5.16 -5.21 -5.27
 -5.33 -5.38 -5.44 -5.5  -5.56 -5.61 -5.67 -5.73 -5.79 -5.85 -5.9  -5.96
 -6.02 -6.08 -6.14 -6.2  -6.26 -6.32 -6.38 -6.44 -6.5  -6.56 -6.62 -6.68
 -6.74 -6.8  -6.86 -6.92 -6.98 -7.04 -7.1  -7.16 -7.23 -7.29 -7.35 -7.42
 -7.48 -7.54 -7.61]","[1959.577075 1960.2788   1960.98205  1961.6868   1962.39355  1963.1018
 1963.81155  1964.5228   1965.23555  1965.9498   1966.665025 1967.381225
 1968.0984   1968.81655  1969.535175 1970.25425  1970.973775 1971.69375
 1972.414175 1973.13455  1973.854875 1974.575175 1975.29545  1976.015175
 1976.73435  1977.4535   1978.172625 1978.891725 1979.61135  1980.3315
 1981.05215  1981.773825 1982.496025 1983.218725 1983.941925 1984.6651
 1985.38825  1986.11085  1986.832375 1987.552825 1988.2717   1988.989
 1989.704725 1990.4184   1991.130525 1991.8416   1992.55115  1993.2592
 1993.96675  1994.6738   1995.380375]","[157.15 157.1  157.04 156.98 156.93 156.87 156.81 156.76 156.7  156.64
 156.59 156.53 156.47 156.42 156.36 156.3  156.24 156.19 156.13 156.07
 156.01 155.95 155.9  155.84 155.78 155.72 155.66 155.6  155.54 155.48
 155.42 155.36 155.3  155.24 155.18 155.12 155.06 155.   154.94 154.88
 154.82 154.76 154.7  154.64 154.57 154.51 154.45 154.38 154.32 154.26
 154.19]",0.0,6,A9
0,"[3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 4.0, 4.1, 4.2, 4.3, 4.4, 4.5, 4.6, 4.7, 4.8, 4.9, 5.0]","[31.03055  32.0892   33.149275 34.2108   35.2738   36.3388   37.4058
 38.475325 39.547925 40.6241   41.703825 42.787125 43.8745   44.965425
 46.059925 47.1585   48.2611  ]","[0.39 0.4  0.41 0.42 0.43 0.44 0.45 0.46 0.47 0.47 0.48 0.49 0.49 0.5
 0.51 0.51 0.52]","[1801.03055  1802.0892   1803.149275 1804.2108   1805.2738   1806.3388
 1807.4058   1808.475325 1809.547925 1810.6241   1811.703825 1812.787125
 1813.8745   1814.965425 1816.059925 1817.1585   1818.2611  ]","[162.19 162.2  162.21 162.22 162.23 162.24 162.25 162.26 162.27 162.27
 162.28 162.29 162.29 162.3  162.31 162.31 162.32]",0.0,6,A18
3,"[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2.0, 2.1, 2.2, 2.3, 2.4, 2.5, 2.6, 2.7, 2.8, 2.9, 3.0, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 4.0, 4.1, 4.2, 4.3, 4.4, 4.5, 4.6, 4.7, 4.8, 4.9, 5.0]","[ 62.70725   63.604025  64.500825  65.397125  66.292925  67.18875
  68.0846    68.980475  69.876875  70.7738    71.67075   72.567725
  73.464725  74.361725  75.258725  76.155725  77.052725  77.949725
  78.847225  79.745225  80.64325   81.5413    82.43985   83.338925
  84.238525  85.13865   86.0393    86.940975  87.8437    88.74745
  89.652225  90.558025  91.46485   92.3722    93.28005   94.1889
  95.09875   96.009075  96.919375  97.82965   98.7399    99.650125
 100.560325 101.4705   102.38115  103.2923   104.20345  105.1146
 106.02625  106.9384   107.85055 ]","[0.84 0.84 0.85 0.86 0.86 0.87 0.88 0.88 0.88 0.89 0.89 0.9  0.9  0.9
 0.9  0.9  0.9  0.89 0.89 0.89 0.88 0.88 0.88 0.87 0.87 0.86 0.85 0.85
 0.84 0.83 0.82 0.81 0.81 0.79 0.78 0.77 0.76 0.74 0.73 0.71 0.69 0.68
 0.66 0.64 0.62 0.6  0.58 0.56 0.54 0.52 0.49]","[1832.70725  1833.604025 1834.500825 1835.397125 1836.292925 1837.18875
 1838.0846   1838.980475 1839.876875 1840.7738   1841.67075  1842.567725
 1843.464725 1844.361725 1845.258725 1846.155725 1847.052725 1847.949725
 1848.847225 1849.745225 1850.64325  1851.5413   1852.43985  1853.338925
 1854.238525 1855.13865  1856.0393   1856.940975 1857.8437   1858.74745
 1859.652225 1860.558025 1861.46485  1862.3722   1863.28005  1864.1889
 1865.09875  1866.009075 1866.919375 1867.82965  1868.7399   1869.650125
 1870.560325 1871.4705   1872.38115  1873.2923   1874.20345  1875.1146
 1876.02625  1876.9384   1877.85055 ]","[162.64 162.64 162.65 162.66 162.66 162.67 162.68 162.68 162.68 162.69
 162.69 162.7  162.7  162.7  162.7  162.7  162.7  162.69 162.69 162.69
 162.68 162.68 162.68 162.67 162.67 162.66 162.65 162.65 162.64 162.63
 162.62 162.61 162.61 162.59 162.58 162.57 162.56 162.54 162.53 162.51
 162.49 162.48 162.46 162.44 162.42 162.4  162.38 162.36 162.34 162.32
 162.29]",6.927081339508281e-94,6,A2
