maneuver,mux,muy,sigx,sigy,time
1,2.7759123,0.61951816,0.1399129,0.25775746,0.0
1,6.0512266,0.28551313,0.05293994,0.13656683,0.2
1,8.482035,0.2767408,0.038617592,0.10613356,0.4
1,10.272703,0.1915012,0.035524126,0.10106687,0.6000000000000001
1,12.445342,0.017940275,0.035221264,0.10167564,0.8
1,15.073729,-0.24942216,0.034826837,0.10141586,1.0
1,17.547688,-0.5159341,0.033499703,0.09848164,1.2000000000000002
1,20.3865,-0.8334,0.03141503,0.09436053,1.4000000000000001
1,23.274393,-1.170362,0.029590093,0.09078346,1.6
1,25.831682,-1.4962826,0.029107278,0.08876196,1.8
1,28.08174,-1.7888343,0.029135203,0.087768905,2.0
1,30.501993,-2.1132967,0.02823419,0.08807342,2.2
1,32.930355,-2.4521859,0.027280692,0.08854101,2.4000000000000004
1,34.990555,-2.7177126,0.027582053,0.08892706,2.6
1,37.458786,-2.997445,0.027816309,0.08834217,2.8000000000000003
1,40.376534,-3.3319046,0.027238024,0.08642167,3.0
1,43.428555,-3.6907265,0.026993304,0.083292075,3.2
1,46.97911,-4.090592,0.026121112,0.08068885,3.4000000000000004
1,50.45427,-4.4029446,0.024975287,0.0793808,3.6
1,53.64126,-4.6632323,0.02540699,0.081579566,3.8000000000000003
1,56.351013,-4.8876886,0.023764055,0.07812008,4.0
1,57.42269,-5.0071497,0.023090998,0.07735386,4.2
1,61.15294,-5.5230794,0.022988245,0.07679397,4.4
1,64.33219,-5.9281754,0.022797486,0.07436984,4.6000000000000005
1,66.14689,-6.142114,0.022865403,0.07034704,4.800000000000001
1,69.68379,-6.573338,0.02210429,0.06546673,5.0
1,72.64641,-6.9062934,0.022036463,0.06747442,5.2
1,74.735535,-7.2482085,0.02165625,0.06780828,5.4
1,77.25541,-7.736426,0.020995049,0.06841443,5.6000000000000005
1,79.67973,-8.06755,0.020918932,0.06786521,5.800000000000001
1,82.35032,-8.421533,0.02093921,0.06734785,6.0
1,85.120605,-8.687919,0.020884994,0.066004544,6.2
1,87.829475,-8.946033,0.020647874,0.064148694,6.4
1,90.53069,-9.308299,0.020345112,0.062462863,6.6000000000000005
1,93.64344,-9.728602,0.020032268,0.06097227,6.800000000000001
1,97.041794,-10.023748,0.019443823,0.058427885,7.0
1,100.26856,-10.329553,0.01912851,0.05601429,7.2
1,103.05018,-10.621761,0.018898888,0.053583406,7.4
1,105.49081,-10.879976,0.018580996,0.05193867,7.6000000000000005
1,107.77422,-11.153407,0.018320391,0.05140959,7.800000000000001
1,109.649475,-11.370636,0.017611306,0.05015184,8.0
1,111.96576,-11.7066965,0.017142393,0.04952119,8.200000000000001
1,115.59731,-12.243463,0.017091585,0.050028343,8.4
1,120.59669,-12.850332,0.01713315,0.049892623,8.6
1,126.07003,-13.501399,0.016431222,0.04730563,8.8
1,131.6852,-14.243701,0.015153891,0.044382147,9.0
1,136.24043,-14.851207,0.014417972,0.04240268,9.200000000000001
1,138.89568,-15.179889,0.014003362,0.041439667,9.4
1,140.17299,-15.322461,0.013764097,0.04100818,9.600000000000001
1,140.78886,-15.380227,0.013621045,0.040813956,9.8
2,26.550749,1.5740843,0.053020857,0.11593426,0.0
2,45.383823,1.9673245,0.010110622,0.03379961,0.2
2,49.386623,1.8535986,0.008661074,0.028830329,0.4
2,55.6248,1.0061066,0.008940962,0.029867569,0.6000000000000001
2,60.98422,0.15623653,0.009390485,0.030850505,0.8
2,65.833534,-0.56791365,0.00980545,0.03282474,1.0
2,70.733635,-1.2041999,0.009557439,0.033913523,1.2000000000000002
2,75.602684,-1.7864565,0.009600595,0.035412736,1.4000000000000001
2,82.09663,-2.6568167,0.00959578,0.037074484,1.6
2,88.61031,-3.610963,0.009952885,0.037572168,1.8
2,96.60378,-4.8409715,0.010412599,0.03865734,2.0
2,105.331085,-5.988163,0.010398641,0.037749097,2.2
2,112.35732,-6.7769833,0.010161153,0.035639565,2.4000000000000004
2,116.850426,-7.2679334,0.010245196,0.03439339,2.6
2,122.3007,-8.094542,0.010717864,0.036058832,2.8000000000000003
2,128.09753,-8.8374605,0.011630576,0.03796885,3.0
2,133.46347,-9.519681,0.011950292,0.037998263,3.2
2,138.77742,-10.182929,0.011627105,0.036868248,3.4000000000000004
2,143.42854,-10.76833,0.01089349,0.035368424,3.6
2,146.42442,-11.17731,0.010188454,0.034146734,3.8000000000000003
2,148.02968,-11.426843,0.009701371,0.033501625,4.0
2,148.95197,-11.590602,0.009359951,0.033153612,4.2
2,149.56653,-11.707894,0.009101018,0.03293185,4.4
2,150.00833,-11.792369,0.008896389,0.032774284,4.6000000000000005
2,150.32677,-11.850112,0.008732142,0.032653227,4.800000000000001
2,150.5471,-11.885886,0.008598968,0.032554172,5.0
2,150.6894,-11.904329,0.008489694,0.03247002,5.2
2,150.77272,-11.909864,0.008398889,0.032398306,5.4
2,150.8131,-11.906337,0.0083230715,0.03234223,5.6000000000000005
2,150.81468,-11.896327,0.00826255,0.03232236,5.800000000000001
2,150.74092,-11.879372,0.008228702,0.032424625,6.0
2,150.4456,-11.84784,0.008262672,0.03292454,6.2
2,149.7413,-11.790968,0.00841618,0.034185573,6.4
2,148.95653,-11.728298,0.008591546,0.035625845,6.6000000000000005
2,148.53816,-11.686928,0.008661569,0.03638584,6.800000000000001
2,148.39604,-11.661916,0.00866899,0.0366511,7.0
2,148.34007,-11.640084,0.008686062,0.036770597,7.2
2,148.23427,-11.6083765,0.008782092,0.036949936,7.4
2,147.9623,-11.55219,0.009042556,0.037336137,7.6000000000000005
2,147.49715,-11.46844,0.009496112,0.037964776,7.800000000000001
2,147.00957,-11.382485,0.009993726,0.038640182,8.0
2,146.66331,-11.318095,0.010374798,0.03917557,8.200000000000001
2,146.45932,-11.275058,0.010631481,0.039576147,8.4
2,146.34521,-11.245664,0.010810525,0.039902795,8.6
2,146.28148,-11.224221,0.010946921,0.040195923,8.8
