,ID,time,xloc,yloc,lane,speed,acceleration,length-smoothed,width-smoothed,type-most-common,ACC
7209,52,190.7,112.0178249999999,-116.75,-2,9.5215,-0.1575,2.65,5.12,small-vehicle,No
7210,52,190.8,112.96997499999998,-116.77999999999997,-2,9.50575,-0.2075,2.65,5.12,small-vehicle,No
7211,52,190.9,113.92055000000005,-116.82,-2,9.485,-0.2575,2.66,5.12,small-vehicle,No
7212,52,191.0,114.86905000000002,-116.85999999999999,-2,9.45925,-0.2575,2.67,5.13,small-vehicle,No
7213,52,191.1,115.814975,-116.88999999999999,-2,9.4335,-0.26,2.68,5.13,small-vehicle,No
7214,52,191.2,116.75832500000001,-116.91999999999999,-2,9.4075,-0.3075,2.68,5.13,small-vehicle,No
7215,52,191.3,117.699075,-116.95999999999998,-2,9.37675,-0.3075,2.69,5.14,small-vehicle,No
7216,52,191.4,118.63674999999989,-116.98999999999998,-2,9.346,-0.31,2.7,5.14,small-vehicle,No
7217,52,191.5,119.57134999999994,-117.01999999999998,-2,9.315,-0.3575,2.71,5.14,small-vehicle,No
7218,52,191.6,120.50285000000008,-117.05999999999997,-2,9.27925,-0.3575,2.71,5.15,small-vehicle,No
7219,52,191.7,121.43077500000004,-117.08999999999997,-2,9.2435,-0.36,2.72,5.16,small-vehicle,No
7220,52,191.8,122.35512500000004,-117.11999999999998,-2,9.2075,-0.4075,2.73,5.16,small-vehicle,No
7221,52,191.9,123.27587500000004,-117.14999999999998,-2,9.16675,-0.355,2.74,5.17,small-vehicle,No
7222,52,192.0,124.19254999999998,-117.17999999999998,-2,9.13125,-0.3575,2.74,5.17,small-vehicle,No
7223,52,192.1,125.10567500000002,-117.22,-2,9.0955,-0.4075,2.75,5.18,small-vehicle,No
7224,52,192.2,126.0152250000001,-117.25,-2,9.05475,-0.405,2.75,5.18,small-vehicle,No
7225,52,192.3,126.9206999999999,-117.27999999999997,-2,9.01425,-0.405,2.76,5.19,small-vehicle,No
7226,52,192.4,127.82212499999991,-117.30999999999997,-2,8.97375,-0.405,2.77,5.19,small-vehicle,No
7227,52,192.5,128.71949999999993,-117.33999999999997,-2,8.93325,-0.4025,2.77,5.2,small-vehicle,No
7228,52,192.6,129.61282499999993,-117.38,-2,8.893,-0.4025,2.78,5.21,small-vehicle,No
7229,52,192.7,130.50212499999998,-117.41,-2,8.85275,-0.4025,2.78,5.21,small-vehicle,No
7230,52,192.8,131.38740000000007,-117.44,-2,8.8125,-0.35,2.78,5.22,small-vehicle,No
7231,52,192.9,132.26864999999998,-117.47,-2,8.7775,-0.35,2.79,5.23,small-vehicle,No
7232,52,193.0,133.14640000000009,-117.5,-2,8.7425,-0.35,2.79,5.23,small-vehicle,No
7233,52,193.1,134.02064999999993,-117.52999999999997,-2,8.7075,-0.35,2.8,5.24,small-vehicle,No
7234,52,193.2,134.89139999999998,-117.57,-2,8.6725,-0.35,2.8,5.25,small-vehicle,No
7235,52,193.3,135.75865,-117.6,-2,8.6375,-0.35,2.8,5.26,small-vehicle,No
7236,52,193.4,136.62239999999997,-117.63,-2,8.6025,-0.35,2.81,5.26,small-vehicle,No
7237,52,193.5,137.48264999999992,-117.66,-2,8.5675,-0.3,2.81,5.27,small-vehicle,No
7238,52,193.6,138.33940000000007,-117.69999999999999,-2,8.5375,-0.35,2.82,5.28,small-vehicle,No
7239,52,193.7,139.19315000000006,-117.72999999999999,-2,8.5025,-0.35,2.82,5.29,small-vehicle,No
7240,52,193.8,140.04340000000002,-117.75999999999999,-2,8.4675,-0.35,2.82,5.29,small-vehicle,No
7241,52,193.9,140.89014999999995,-117.79999999999998,-2,8.4325,-0.35,2.83,5.3,small-vehicle,No
7242,52,194.0,141.73340000000007,-117.82999999999998,-2,8.3975,-0.35,2.83,5.31,small-vehicle,No
7243,52,194.1,142.57314999999994,-117.86999999999998,-2,8.3625,-0.35,2.83,5.32,small-vehicle,No
7244,52,194.2,143.4094,-117.91,-2,8.3275,-0.35,2.84,5.32,small-vehicle,No
7245,52,194.3,144.24215000000004,-117.94,-2,8.2925,-0.3475,2.84,5.33,small-vehicle,No
7246,52,194.4,145.07140000000004,-117.97999999999999,-2,8.25775,-0.2975,2.84,5.34,small-vehicle,No
7247,52,194.5,145.89717500000006,-118.01999999999998,-2,8.228,-0.2975,2.85,5.35,small-vehicle,No
7248,52,194.6,146.71997499999998,-118.05999999999997,-2,8.19825,-0.2975,2.85,5.35,small-vehicle,No
7249,52,194.7,147.5398,-118.1,-2,8.1685,-0.2475,2.86,5.36,small-vehicle,No
7250,52,194.8,148.35664999999995,-118.13999999999999,-2,8.14375,-0.245,2.86,5.37,small-vehicle,No
7251,52,194.9,149.1710250000001,-118.17999999999998,-2,8.11925,-0.245,2.86,5.38,small-vehicle,No
7252,52,195.0,149.98295000000007,-118.22999999999999,-2,8.09475,-0.1925,2.87,5.38,small-vehicle,No
7253,52,195.1,150.7924250000001,-118.26999999999998,-2,8.0755,-0.1925,2.87,5.39,small-vehicle,No
7254,52,195.2,151.5999750000001,-118.30999999999997,-2,8.05625,-0.145,2.88,5.4,small-vehicle,No
7255,52,195.3,152.40560000000005,-118.35999999999999,-2,8.04175,-0.145,2.88,5.4,small-vehicle,No
7256,52,195.4,153.20977500000004,-118.39999999999998,-2,8.02725,-0.1425,2.89,5.41,small-vehicle,No
7257,52,195.5,154.01250000000005,-118.44999999999999,-2,8.013,-0.0925,2.89,5.41,small-vehicle,No
7258,52,195.6,154.8137999999999,-118.5,-2,8.00375,-0.0925,2.9,5.42,small-vehicle,No
7259,52,195.7,155.61417499999993,-118.53999999999999,-2,7.9945,-0.0925,2.9,5.43,small-vehicle,No
