,ID,time,xloc,yloc,lane,speed,acceleration,length-smoothed,width-smoothed,type-most-common,ACC,adjusted_time
23450,77,169.3,1840.315575,162.87,-2,6.43025,1.0725,2.7,5.34,small-vehicle,No,3.8
23451,77,169.4,1840.9586,162.87,-2,6.5375,1.0175,2.7,5.34,small-vehicle,No,3.9
23452,77,169.5,1841.61235,162.87,-2,6.63925,0.96,2.7,5.35,small-vehicle,No,4.0
23453,77,169.6,1842.276275,162.88,-2,6.73525,0.9025,2.7,5.35,small-vehicle,No,4.1
23454,77,169.7,1842.9498,162.88,-2,6.8255,0.8,2.7,5.35,small-vehicle,No,4.2
23455,77,169.8,1843.63235,162.88,-2,6.9055,0.6925,2.7,5.35,small-vehicle,No,4.3
23456,77,169.9,1844.3229,162.89,-2,6.97475,0.585,2.7,5.36,small-vehicle,No,4.4
23457,77,170.0,1845.020375,162.89,-2,7.03325,0.4325,2.71,5.36,small-vehicle,No,4.5
23458,77,170.1,1845.7237,162.89,-2,7.0765,0.3775,2.71,5.36,small-vehicle,No,4.6
23459,77,170.2,1846.43135,162.9,-2,7.11425,0.275,2.71,5.36,small-vehicle,No,4.7
23460,77,170.3,1847.142775,162.9,-2,7.14175,0.1225,2.72,5.37,small-vehicle,No,4.8
23461,77,170.4,1847.85695,162.9,-2,7.154,0.07,2.72,5.37,small-vehicle,No,4.9
23462,77,170.5,1848.57235,162.9,-2,7.161,0.02,2.72,5.37,small-vehicle,No,5.0
25333,82,165.5,1857.08605,162.48,-2,6.41675,0.055,2.73,5.55,small-vehicle,No,0.0
25334,82,165.6,1857.727725,162.48,-2,6.42225,0.005,2.73,5.55,small-vehicle,No,0.1
25335,82,165.7,1858.36995,162.48,-2,6.42275,-0.04,2.74,5.55,small-vehicle,No,0.2
25336,82,165.8,1859.012225,162.48,-2,6.41875,-0.0375,2.74,5.55,small-vehicle,No,0.3
25337,82,165.9,1859.6541,162.48,-2,6.415,-0.085,2.75,5.55,small-vehicle,No,0.4
25338,82,166.0,1860.2956,162.48,-2,6.4065,-0.13,2.75,5.55,small-vehicle,No,0.5
25339,82,166.1,1860.93625,162.47,-2,6.3935,-0.0775,2.76,5.56,small-vehicle,No,0.6
25340,82,166.2,1861.5756,162.47,-2,6.38575,-0.02,2.76,5.56,small-vehicle,No,0.7
25341,82,166.3,1862.214175,162.46,-2,6.38375,0.09,2.77,5.56,small-vehicle,No,0.8
25342,82,166.4,1862.85255,162.46,-2,6.39275,0.1975,2.77,5.57,small-vehicle,No,0.9
25343,82,166.5,1863.491825,162.46,-2,6.4125,0.2525,2.78,5.57,small-vehicle,No,1.0
25344,82,166.6,1864.133075,162.45,-2,6.43775,0.355,2.78,5.57,small-vehicle,No,1.1
25345,82,166.7,1864.77685,162.45,-2,6.47325,0.4075,2.79,5.58,small-vehicle,No,1.2
25346,82,166.8,1865.424175,162.44,-2,6.514,0.4075,2.8,5.58,small-vehicle,No,1.3
25347,82,166.9,1866.075575,162.44,-2,6.55475,0.4575,2.8,5.59,small-vehicle,No,1.4
25348,82,167.0,1866.73105,162.43,-2,6.6005,0.405,2.81,5.6,small-vehicle,No,1.5
25349,82,167.1,1867.3911,162.43,-2,6.641,0.3,2.81,5.6,small-vehicle,No,1.6
25350,82,167.2,1868.0552,162.42,-2,6.671,0.1925,2.82,5.61,small-vehicle,No,1.7
25351,82,167.3,1868.7223,162.41,-2,6.69025,0.085,2.83,5.62,small-vehicle,No,1.8
25352,82,167.4,1869.391325,162.41,-2,6.69875,-0.0175,2.83,5.62,small-vehicle,No,1.9
25353,82,167.5,1870.0612,162.4,-2,6.697,-0.12,2.84,5.63,small-vehicle,No,2.0
25354,82,167.6,1870.7309,162.39,-2,6.685,-0.225,2.85,5.64,small-vehicle,No,2.1
25355,82,167.7,1871.3994,162.38,-2,6.6625,-0.33,2.86,5.65,small-vehicle,No,2.2
25356,82,167.8,1872.06565,162.37,-2,6.6295,-0.43,2.86,5.66,small-vehicle,No,2.3
25357,82,167.9,1872.7286,162.37,-2,6.5865,-0.5325,2.87,5.67,small-vehicle,No,2.4
25358,82,168.0,1873.38725,162.36,-2,6.53325,-0.53,2.88,5.68,small-vehicle,No,2.5
25359,82,168.1,1874.040575,162.35,-2,6.48025,-0.5225,2.89,5.69,small-vehicle,No,2.6
25360,82,168.2,1874.6886,162.33,-2,6.428,-0.4675,2.89,5.7,small-vehicle,No,2.7
