Vehicle_ID,ID,time,xloc,yloc,old_xloc,old_yloc,line_integral_values,maneuver
488,0,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2]","[45.1789   45.63555  46.084125 46.52465  46.957125 47.38155  47.797925
 48.2057   48.6033   48.989175 49.362275 49.72105  50.063975 50.39
 50.6981   50.987825 51.2592   51.51225  51.747575 51.966275 52.169425
 52.358625 52.535975]","[158.33 158.33 158.34 158.34 158.35 158.35 158.36 158.36 158.37 158.37
 158.38 158.38 158.39 158.4  158.4  158.41 158.41 158.42 158.43 158.43
 158.44 158.44 158.45]","[1615.1789   1615.63555  1616.084125 1616.52465  1616.957125 1617.38155
 1617.797925 1618.2057   1618.6033   1618.989175 1619.362275 1619.72105
 1620.063975 1620.39     1620.6981   1620.987825 1621.2592   1621.51225
 1621.747575 1621.966275 1622.169425 1622.358625 1622.535975]","[158.33 158.33 158.34 158.34 158.35 158.35 158.36 158.36 158.37 158.37
 158.38 158.38 158.39 158.4  158.4  158.41 158.41 158.42 158.43 158.43
 158.44 158.44 158.45]",0.0,6
488,3,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2]","[60.716475 61.0726   61.4186   61.755    62.0818   62.397975 62.703
 62.995325 63.27285  63.5345   63.77875  64.004075 64.208925 64.392275
 64.55315  64.6911   64.806675 64.90045  64.97405  65.029125 65.067775
 65.0921   65.104225]","[158.77 158.78 158.78 158.79 158.79 158.8  158.8  158.8  158.8  158.8
 158.8  158.8  158.8  158.8  158.8  158.8  158.8  158.8  158.8  158.8
 158.8  158.8  158.81]","[1630.716475 1631.0726   1631.4186   1631.755    1632.0818   1632.397975
 1632.703    1632.995325 1633.27285  1633.5345   1633.77875  1634.004075
 1634.208925 1634.392275 1634.55315  1634.6911   1634.806675 1634.90045
 1634.97405  1635.029125 1635.067775 1635.0921   1635.104225]","[158.77 158.78 158.78 158.79 158.79 158.8  158.8  158.8  158.8  158.8
 158.8  158.8  158.8  158.8  158.8  158.8  158.8  158.8  158.8  158.8
 158.8  158.8  158.81]",0.0,6
488,52,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2]","[87.563025 87.6691   87.772675 87.8743   87.974525 88.073875 88.172825
 88.270825 88.3663   88.458175 88.544875 88.62485  88.69705  88.759925
 88.812425 88.854075 88.884425 88.904    88.9139   88.916575 88.916575
 88.916575 88.916575]","[158.94 158.94 158.94 158.95 158.95 158.95 158.95 158.95 158.95 158.95
 158.95 158.95 158.95 158.95 158.95 158.96 158.96 158.96 158.96 158.96
 158.96 158.97 158.97]","[1657.563025 1657.6691   1657.772675 1657.8743   1657.974525 1658.073875
 1658.172825 1658.270825 1658.3663   1658.458175 1658.544875 1658.62485
 1658.69705  1658.759925 1658.812425 1658.854075 1658.884425 1658.904
 1658.9139   1658.916575 1658.916575 1658.916575 1658.916575]","[158.94 158.94 158.94 158.95 158.95 158.95 158.95 158.95 158.95 158.95
 158.95 158.95 158.95 158.95 158.95 158.96 158.96 158.96 158.96 158.96
 158.96 158.97 158.97]",0.0,6
488,57,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2]","[79.226725 79.34155  79.449925 79.5529   79.651025 79.744775 79.83415
 79.918625 79.9971   80.0685   80.131775 80.185375 80.227725 80.257775
 80.275025 80.280325 80.280325 80.280325 80.280325 80.280325 80.280325
 80.280325 80.280325]","[159.11 159.11 159.11 159.11 159.11 159.11 159.11 159.1  159.1  159.1
 159.1  159.1  159.1  159.1  159.1  159.1  159.1  159.1  159.1  159.1
 159.1  159.1  159.1 ]","[1649.226725 1649.34155  1649.449925 1649.5529   1649.651025 1649.744775
 1649.83415  1649.918625 1649.9971   1650.0685   1650.131775 1650.185375
 1650.227725 1650.257775 1650.275025 1650.280325 1650.280325 1650.280325
 1650.280325 1650.280325 1650.280325 1650.280325 1650.280325]","[159.11 159.11 159.11 159.11 159.11 159.11 159.11 159.1  159.1  159.1
 159.1  159.1  159.1  159.1  159.1  159.1  159.1  159.1  159.1  159.1
 159.1  159.1  159.1 ]",0.0,6
488,61,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2]","[71.457225 71.645725 71.81945  71.978925 72.124725 72.25745  72.377625
 72.485775 72.581925 72.66605  72.73815  72.797725 72.844225 72.877125
 72.895925 72.9018   72.9018   72.9018   72.9018   72.9018   72.9018
 72.9018   72.9018  ]","[158.4  158.4  158.4  158.4  158.39 158.39 158.39 158.39 158.39 158.39
 158.39 158.38 158.38 158.38 158.38 158.38 158.38 158.38 158.38 158.38
 158.39 158.39 158.39]","[1641.457225 1641.645725 1641.81945  1641.978925 1642.124725 1642.25745
 1642.377625 1642.485775 1642.581925 1642.66605  1642.73815  1642.797725
 1642.844225 1642.877125 1642.895925 1642.9018   1642.9018   1642.9018
 1642.9018   1642.9018   1642.9018   1642.9018   1642.9018  ]","[158.4  158.4  158.4  158.4  158.39 158.39 158.39 158.39 158.39 158.39
 158.39 158.38 158.38 158.38 158.38 158.38 158.38 158.38 158.38 158.38
 158.39 158.39 158.39]",0.0,6
488,66,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2]","[120.65575  121.00175  121.342525 121.678625 122.011075 122.33995
 122.664725 122.98435  123.29725  123.601825 123.896025 124.1783
 124.4471   124.700375 124.9366   125.1553   125.356525 125.540875
 125.71     125.86605  126.011675 126.149525 126.28275 ]","[159.78 159.79 159.79 159.8  159.81 159.82 159.83 159.83 159.84 159.85
 159.86 159.87 159.87 159.88 159.89 159.9  159.91 159.91 159.92 159.93
 159.94 159.95 159.96]","[1690.65575  1691.00175  1691.342525 1691.678625 1692.011075 1692.33995
 1692.664725 1692.98435  1693.29725  1693.601825 1693.896025 1694.1783
 1694.4471   1694.700375 1694.9366   1695.1553   1695.356525 1695.540875
 1695.71     1695.86605  1696.011675 1696.149525 1696.28275 ]","[159.78 159.79 159.79 159.8  159.81 159.82 159.83 159.83 159.84 159.85
 159.86 159.87 159.87 159.88 159.89 159.9  159.91 159.91 159.92 159.93
 159.94 159.95 159.96]",0.0,6
488,68,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2]","[130.582775 130.98335  131.382825 131.781775 132.18075  132.580275
 132.98085  133.381925 133.7819   134.1787   134.57025  134.954975
 135.3313   135.69715  136.050975 136.3923   136.720675 137.03615
 137.339875 137.634    137.92115  138.204    138.4857  ]","[159.99 160.   160.01 160.02 160.03 160.03 160.04 160.05 160.06 160.07
 160.08 160.09 160.1  160.11 160.12 160.13 160.15 160.16 160.17 160.19
 160.2  160.21 160.23]","[1700.582775 1700.98335  1701.382825 1701.781775 1702.18075  1702.580275
 1702.98085  1703.381925 1703.7819   1704.1787   1704.57025  1704.954975
 1705.3313   1705.69715  1706.050975 1706.3923   1706.720675 1707.03615
 1707.339875 1707.634    1707.92115  1708.204    1708.4857  ]","[159.99 160.   160.01 160.02 160.03 160.03 160.04 160.05 160.06 160.07
 160.08 160.09 160.1  160.11 160.12 160.13 160.15 160.16 160.17 160.19
 160.2  160.21 160.23]",0.0,6
488,69,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2]","[108.3102   108.579925 108.8531   109.130775 109.4135   109.701775
 109.995075 110.29235  110.592    110.8919   111.190475 111.48515
 111.77385  112.054475 112.324475 112.58285  112.829125 113.062875
 113.284675 113.49565  113.69745  113.892225 114.0821  ]","[159.19 159.19 159.2  159.2  159.2  159.21 159.21 159.21 159.22 159.22
 159.22 159.23 159.23 159.24 159.24 159.24 159.25 159.25 159.25 159.26
 159.26 159.27 159.27]","[1678.3102   1678.579925 1678.8531   1679.130775 1679.4135   1679.701775
 1679.995075 1680.29235  1680.592    1680.8919   1681.190475 1681.48515
 1681.77385  1682.054475 1682.324475 1682.58285  1682.829125 1683.062875
 1683.284675 1683.49565  1683.69745  1683.892225 1684.0821  ]","[159.19 159.19 159.2  159.2  159.2  159.21 159.21 159.21 159.22 159.22
 159.22 159.23 159.23 159.24 159.24 159.24 159.25 159.25 159.25 159.26
 159.26 159.27 159.27]",0.0,6
488,75,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2]","[ 99.116025  99.3176    99.51965   99.7232    99.9288   100.136475
 100.346175 100.55735  100.768425 100.977325 101.182475 101.382275
 101.574675 101.758125 101.931075 102.09255  102.242575 102.381225
 102.5096   102.629325 102.74205  102.849875 102.9549  ]","[159.36 159.36 159.36 159.36 159.36 159.37 159.37 159.37 159.37 159.37
 159.37 159.37 159.37 159.37 159.37 159.38 159.38 159.38 159.39 159.39
 159.39 159.4  159.4 ]","[1669.116025 1669.3176   1669.51965  1669.7232   1669.9288   1670.136475
 1670.346175 1670.55735  1670.768425 1670.977325 1671.182475 1671.382275
 1671.574675 1671.758125 1671.931075 1672.09255  1672.242575 1672.381225
 1672.5096   1672.629325 1672.74205  1672.849875 1672.9549  ]","[159.36 159.36 159.36 159.36 159.36 159.37 159.37 159.37 159.37 159.37
 159.37 159.37 159.37 159.37 159.37 159.38 159.38 159.38 159.39 159.39
 159.39 159.4  159.4 ]",0.0,6
488,77,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2]","[146.041725 146.615625 147.189825 147.76485  148.34075  148.917025
 149.49315  150.068075 150.639175 151.203825 151.75995  152.305475
 152.837325 153.352925 153.850225 154.32775  154.78505  155.2217
 155.63935  156.040175 156.426375 156.800625 157.1661  ]","[160.57 160.58 160.59 160.6  160.6  160.61 160.62 160.63 160.64 160.64
 160.65 160.66 160.67 160.68 160.69 160.7  160.71 160.72 160.73 160.75
 160.76 160.77 160.78]","[1716.041725 1716.615625 1717.189825 1717.76485  1718.34075  1718.917025
 1719.49315  1720.068075 1720.639175 1721.203825 1721.75995  1722.305475
 1722.837325 1723.352925 1723.850225 1724.32775  1724.78505  1725.2217
 1725.63935  1726.040175 1726.426375 1726.800625 1727.1661  ]","[160.57 160.58 160.59 160.6  160.6  160.61 160.62 160.63 160.64 160.64
 160.65 160.66 160.67 160.68 160.69 160.7  160.71 160.72 160.73 160.75
 160.76 160.77 160.78]",0.0,6
