Vehicle_ID,ID,time,xloc,yloc,line_integral_values,maneuver
66,66,"[2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4.  4.1 4.2
 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[1585.338225 1585.83735  1586.32435  1586.7987   1587.259325 1587.705725
 1588.137425 1588.55445  1588.957875 1589.348275 1589.7267   1590.095225
 1590.454925 1590.806875 1591.152625 1591.493175 1591.8285   1592.158575
 1592.48335  1592.802275 1593.11535  1593.42255  1593.723825 1594.019175
 1594.308625 1594.592675]","[157.74 157.74 157.74 157.75 157.75 157.75 157.75 157.76 157.76 157.76
 157.77 157.77 157.78 157.78 157.78 157.79 157.79 157.8  157.8  157.81
 157.81 157.82 157.82 157.82 157.83 157.83]",21.791809535228047,6
66,68,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[1594.32595  1594.64225  1594.952075 1595.254425 1595.54875  1595.83555
 1596.11485  1596.38665  1596.65145  1596.90925  1597.160075 1597.40395
 1597.6414   1597.873425 1598.10055  1598.3228   1598.540675 1598.755225
 1598.96695  1599.175825 1599.38185  1599.585025 1599.785325 1599.9827
 1600.1766   1600.365975 1600.549775 1600.727475 1600.898025 1601.05985
 1601.21245  1601.35585  1601.4906   1601.617775 1601.73845  1601.854225
 1601.9667   1602.07745  1602.188525 1602.301475 1602.417325 1602.536575
 1602.6592   1602.78515  1602.914875 1603.048325 1603.184975 1603.324825
 1603.46835  1603.6155   1603.766275]","[157.79 157.8  157.8  157.81 157.81 157.81 157.82 157.82 157.82 157.82
 157.83 157.83 157.83 157.83 157.83 157.84 157.84 157.84 157.84 157.84
 157.84 157.84 157.84 157.84 157.84 157.84 157.84 157.84 157.84 157.84
 157.84 157.84 157.84 157.84 157.84 157.84 157.85 157.85 157.85 157.85
 157.85 157.85 157.86 157.86 157.86 157.87 157.87 157.87 157.88 157.88
 157.89]",0.12173532685391121,6
66,77,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[1606.958425 1607.204125 1607.4498   1607.694925 1607.9395   1608.183025
 1608.426    1608.668425 1608.910325 1609.151725 1609.392625 1609.63405
 1609.876025 1610.11855  1610.36265  1610.60885  1610.85715  1611.10755
 1611.36055  1611.61615  1611.874325 1612.13505  1612.3973   1612.660525
 1612.9242   1613.187275 1613.448675 1613.70735  1613.96175  1614.210325
 1614.45255  1614.68795  1614.916075 1615.138    1615.3548   1615.567575
 1615.777925 1615.987425 1616.19765  1616.41015  1616.62595  1616.84555
 1617.0689   1617.29545  1617.524675 1617.756    1617.989375 1618.2243
 1618.46025  1618.6972   1618.93515 ]","[158.46 158.47 158.47 158.47 158.48 158.48 158.49 158.49 158.5  158.5
 158.51 158.51 158.52 158.52 158.53 158.53 158.54 158.54 158.55 158.55
 158.55 158.56 158.56 158.56 158.57 158.57 158.57 158.57 158.58 158.58
 158.58 158.58 158.59 158.59 158.59 158.6  158.6  158.6  158.61 158.61
 158.61 158.62 158.62 158.63 158.63 158.63 158.64 158.64 158.64 158.65
 158.65]",0.0,6
66,82,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[1633.330925 1633.585075 1633.8422   1634.10175  1634.363225 1634.626125
 1634.89045  1635.156725 1635.424975 1635.695725 1635.968975 1636.244725
 1636.5235   1636.805825 1637.092225 1637.383225 1637.67935  1637.9806
 1638.28695  1638.5984   1638.914925 1639.2365   1639.5626   1639.892675
 1640.225675 1640.560025 1640.894675 1641.228075 1641.55865  1641.88535
 1642.20665  1642.522075 1642.8327   1643.139125 1643.44245  1643.7448
 1644.048275 1644.354475 1644.6655   1644.9834   1645.3087   1645.6419
 1645.98345  1646.333275 1646.690825 1647.055575 1647.427475 1647.805975
 1648.191075 1648.582775 1648.98105 ]","[158.88 158.88 158.88 158.88 158.88 158.88 158.87 158.87 158.87 158.87
 158.86 158.86 158.86 158.86 158.85 158.85 158.85 158.85 158.85 158.85
 158.85 158.85 158.85 158.85 158.85 158.85 158.85 158.85 158.85 158.85
 158.85 158.85 158.85 158.85 158.85 158.85 158.85 158.85 158.85 158.85
 158.85 158.85 158.85 158.85 158.85 158.86 158.86 158.86 158.86 158.87
 158.87]",0.0,6
66,83,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[1620.100275 1620.354725 1620.61065  1620.86805  1621.12695  1621.38785
 1621.651275 1621.91775  1622.1873   1622.460475 1622.7383   1623.021775
 1623.311425 1623.6078   1623.9119   1624.224225 1624.544775 1624.872975
 1625.208275 1625.550125 1625.89745  1626.2492   1626.6038   1626.959675
 1627.315775 1627.670025 1628.02035  1628.365725 1628.7046   1629.034925
 1629.355725 1629.666525 1629.9679   1630.26045  1630.544775 1630.822975
 1631.09665  1631.3664   1631.633275 1631.8988   1632.1635   1632.42735
 1632.6898   1632.9498   1633.206275 1633.458175 1633.70495  1633.946075
 1634.18055  1634.407875 1634.62855 ]","[158.98 158.98 158.99 158.99 158.99 159.   159.   159.   159.01 159.01
 159.01 159.02 159.02 159.03 159.03 159.04 159.04 159.05 159.06 159.06
 159.07 159.07 159.08 159.09 159.09 159.1  159.1  159.11 159.11 159.12
 159.12 159.12 159.13 159.13 159.14 159.14 159.15 159.15 159.16 159.16
 159.16 159.17 159.17 159.18 159.18 159.19 159.19 159.2  159.2  159.2
 159.21]",0.0,6
66,85,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[1675.03285  1675.553425 1676.08295  1676.6214   1677.167725 1677.72195
 1678.2846   1678.8557   1679.435275 1680.023325 1680.620875 1681.22795
 1681.844575 1682.47125  1683.1085   1683.75735  1684.418325 1685.090925
 1685.7751   1686.470825 1687.1776   1687.894875 1688.621575 1689.356125
 1690.09695  1690.84195  1691.588525 1692.334575 1693.0775   1693.81425
 1694.542775 1695.2626   1695.9738   1696.676475 1697.3723   1698.063425
 1698.751475 1699.438575 1700.126325 1700.8163   1701.509525 1702.205975
 1702.905075 1703.605225 1704.30535  1705.004375 1705.70075  1706.393425
 1707.08135  1707.763525 1708.439425]","[159.64 159.64 159.65 159.65 159.66 159.67 159.67 159.68 159.69 159.7
 159.71 159.72 159.73 159.74 159.76 159.77 159.78 159.79 159.81 159.82
 159.84 159.85 159.87 159.89 159.9  159.92 159.94 159.96 159.98 159.99
 160.01 160.03 160.05 160.06 160.08 160.1  160.12 160.14 160.16 160.18
 160.2  160.22 160.24 160.26 160.28 160.3  160.33 160.35 160.37 160.39
 160.41]",0.0,6
66,91,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[1660.288    1660.637975 1660.999075 1661.37075  1661.752975 1662.145775
 1662.549675 1662.965175 1663.392275 1663.8315   1664.28335  1664.748325
 1665.22695  1665.71975  1666.22725  1666.74995  1667.28835  1667.842925
 1668.41365  1669.000025 1669.602    1670.219025 1670.84955  1671.492475
 1672.146225 1672.809225 1673.479375 1674.1546   1674.8328   1675.5109
 1676.187375 1676.86175  1677.5336   1678.204025 1678.87415  1679.545075
 1680.218925 1680.897325 1681.58135  1682.272575 1682.972025 1683.67965
 1684.394375 1685.11515  1685.8414   1686.57155  1687.30405  1688.03835
 1688.77395  1689.51035  1690.24705 ]","[159.54 159.55 159.56 159.57 159.59 159.6  159.61 159.63 159.64 159.66
 159.67 159.69 159.71 159.72 159.74 159.76 159.77 159.79 159.81 159.82
 159.84 159.86 159.87 159.89 159.91 159.92 159.94 159.96 159.97 159.99
 160.   160.02 160.03 160.05 160.06 160.08 160.09 160.11 160.12 160.14
 160.15 160.17 160.18 160.2  160.21 160.22 160.24 160.25 160.27 160.28
 160.29]",0.0,6
66,94,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[1691.9123   1692.54125  1693.179075 1693.82475  1694.477225 1695.1365
 1695.802625 1696.4756   1697.155425 1697.84215  1698.5358   1699.236375
 1699.944425 1700.660975 1701.38605  1702.119675 1702.86285  1703.615575
 1704.377325 1705.147075 1705.923775 1706.70685  1707.494725 1708.2858
 1709.0775   1709.867225 1710.65235  1711.429775 1712.196925 1712.950725
 1713.6886   1714.4091   1715.112325 1715.7989   1716.469975 1717.127725
 1717.774325 1718.4119   1719.042575 1719.667925 1720.2885   1720.904275
 1721.51465  1722.11805  1722.712875 1723.29805  1723.872025 1724.43375
 1724.9822   1725.516875 1726.0378  ]","[160.5  160.52 160.53 160.55 160.56 160.58 160.59 160.61 160.62 160.64
 160.65 160.67 160.68 160.7  160.71 160.73 160.74 160.76 160.78 160.79
 160.81 160.82 160.84 160.85 160.86 160.88 160.89 160.91 160.92 160.93
 160.94 160.96 160.97 160.98 160.99 161.01 161.02 161.03 161.04 161.06
 161.07 161.08 161.09 161.1  161.11 161.12 161.13 161.14 161.15 161.16
 161.17]",0.0,6
66,103,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[1644.699125 1644.991    1645.28735  1645.587675 1645.89195  1646.200175
 1646.512375 1646.8291   1647.150875 1647.4782   1647.8121   1648.153125
 1648.5013   1648.85765  1649.2232   1649.598475 1649.9845   1650.381775
 1650.790775 1651.211475 1651.643875 1652.08795  1652.54315  1653.0089
 1653.48415  1653.967325 1654.45735  1654.953175 1655.4527   1655.954375
 1656.456675 1656.959125 1657.4628   1657.96825  1658.4766   1658.989975
 1659.50995  1660.038125 1660.576575 1661.12635  1661.68795  1662.261825
 1662.847425 1663.444175 1664.051    1664.66635  1665.289675 1665.9204
 1666.5575   1667.200475 1667.8488  ]","[159.1  159.1  159.11 159.11 159.12 159.12 159.13 159.14 159.14 159.15
 159.16 159.16 159.17 159.18 159.19 159.19 159.2  159.21 159.22 159.23
 159.24 159.25 159.26 159.27 159.28 159.3  159.31 159.32 159.34 159.35
 159.36 159.38 159.39 159.41 159.42 159.44 159.45 159.47 159.48 159.5
 159.51 159.53 159.55 159.56 159.58 159.6  159.62 159.64 159.65 159.67
 159.69]",0.0,6
66,392,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4]","[1813.09955  1813.5267   1813.958725 1814.3951   1814.8353   1815.278825
 1815.725175 1816.1738   1816.6242   1817.075875 1817.5288   1817.982975
 1818.4379   1818.8941   1819.352625 1819.814    1820.27825  1820.745375
 1821.215325 1821.687575 1822.161575 1822.636275 1823.110125 1823.582075
 1824.052825]","[162.53 162.53 162.53 162.53 162.53 162.53 162.53 162.53 162.53 162.53
 162.53 162.53 162.53 162.53 162.53 162.53 162.53 162.53 162.53 162.53
 162.53 162.53 162.53 162.52 162.52]",0.0,6
