ID,time,xloc,yloc,old_xloc,old_yloc,line_integral_values,maneuver
949,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2641.544775 2641.822075 2642.097675 2642.3711   2642.6429   2642.9141
 2643.18525  2643.4564   2643.7286   2644.002875 2644.27925  2644.55825
 2644.840375 2645.126125 2645.4155   2645.7085   2646.0056   2646.3068
 2646.6116   2646.919975 2647.232425 2647.548925 2647.86895  2648.192
 2648.518025 2648.8465   2649.176925 2649.5093   2649.8436   2650.17935
 2650.516575 2650.856275 2651.199    2651.54475  2651.893525 2652.24535
 2652.6002   2652.95805  2653.3184   2653.680725 2654.044475 2654.409125
 2654.77415  2655.139025 2655.50325  2655.866325 2656.228275 2656.5886
 2656.9473   2657.304375 2657.659825]","[14.03 14.09 14.15 14.21 14.27 14.32 14.38 14.44 14.5  14.57 14.63 14.69
 14.76 14.82 14.89 14.96 15.02 15.09 15.16 15.23 15.31 15.38 15.45 15.53
 15.6  15.68 15.75 15.83 15.91 15.98 16.06 16.14 16.22 16.3  16.39 16.47
 16.55 16.64 16.72 16.81 16.89 16.98 17.06 17.14 17.23 17.31 17.39 17.48
 17.56 17.64 17.72]","[2641.544775 2641.822075 2642.097675 2642.3711   2642.6429   2642.9141
 2643.18525  2643.4564   2643.7286   2644.002875 2644.27925  2644.55825
 2644.840375 2645.126125 2645.4155   2645.7085   2646.0056   2646.3068
 2646.6116   2646.919975 2647.232425 2647.548925 2647.86895  2648.192
 2648.518025 2648.8465   2649.176925 2649.5093   2649.8436   2650.17935
 2650.516575 2650.856275 2651.199    2651.54475  2651.893525 2652.24535
 2652.6002   2652.95805  2653.3184   2653.680725 2654.044475 2654.409125
 2654.77415  2655.139025 2655.50325  2655.866325 2656.228275 2656.5886
 2656.9473   2657.304375 2657.659825]","[232.85 232.91 232.97 233.03 233.09 233.14 233.2  233.26 233.32 233.39
 233.45 233.51 233.58 233.64 233.71 233.78 233.84 233.91 233.98 234.05
 234.13 234.2  234.27 234.35 234.42 234.5  234.57 234.65 234.73 234.8
 234.88 234.96 235.04 235.12 235.21 235.29 235.37 235.46 235.54 235.63
 235.71 235.8  235.88 235.96 236.05 236.13 236.21 236.3  236.38 236.46
 236.54]",0.0,6
2150,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2744.246675 2744.631075 2745.0189   2745.41015  2745.804825 2746.202425
 2746.60295  2747.006425 2747.41285  2747.822225 2748.23455  2748.649825
 2749.06805  2749.48925  2749.913425 2750.340575 2750.770725 2751.204375
 2751.641525 2752.082175 2752.526325 2752.973475 2753.423625 2753.876775
 2754.3329   2754.79145  2755.251925 2755.713825 2756.1766   2756.63975
 2757.1033   2757.56725  2758.0311   2758.49485  2758.9585   2759.42205
 2759.885525 2760.348925 2760.81175  2761.2735   2761.73415  2762.193725
 2762.652225 2763.10965  2763.566    2764.020775 2764.474    2764.925675
 2765.3758   2765.824875 2766.272425]","[42.6  42.74 42.88 43.02 43.16 43.3  43.45 43.6  43.75 43.9  44.05 44.2
 44.36 44.51 44.67 44.83 45.   45.16 45.33 45.5  45.67 45.84 46.01 46.19
 46.37 46.54 46.72 46.9  47.07 47.25 47.43 47.61 47.79 47.97 48.15 48.32
 48.5  48.68 48.86 49.04 49.22 49.4  49.57 49.75 49.93 50.1  50.28 50.46
 50.63 50.81 50.98]","[2744.246675 2744.631075 2745.0189   2745.41015  2745.804825 2746.202425
 2746.60295  2747.006425 2747.41285  2747.822225 2748.23455  2748.649825
 2749.06805  2749.48925  2749.913425 2750.340575 2750.770725 2751.204375
 2751.641525 2752.082175 2752.526325 2752.973475 2753.423625 2753.876775
 2754.3329   2754.79145  2755.251925 2755.713825 2756.1766   2756.63975
 2757.1033   2757.56725  2758.0311   2758.49485  2758.9585   2759.42205
 2759.885525 2760.348925 2760.81175  2761.2735   2761.73415  2762.193725
 2762.652225 2763.10965  2763.566    2764.020775 2764.474    2764.925675
 2765.3758   2765.824875 2766.272425]","[261.42 261.56 261.7  261.84 261.98 262.12 262.27 262.42 262.57 262.72
 262.87 263.02 263.18 263.33 263.49 263.65 263.82 263.98 264.15 264.32
 264.49 264.66 264.83 265.01 265.19 265.36 265.54 265.72 265.89 266.07
 266.25 266.43 266.61 266.79 266.97 267.14 267.32 267.5  267.68 267.86
 268.04 268.22 268.39 268.57 268.75 268.92 269.1  269.28 269.45 269.63
 269.8 ]",0.0,6
2247,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2720.35105  2720.620575 2720.896175 2721.17785  2721.466075 2721.760875
 2722.06225  2722.3707   2722.686225 2723.0088   2723.338425 2723.675075
 2724.01825  2724.36795  2724.72415  2725.086325 2725.454475 2725.828625
 2726.20875  2726.59485  2726.98695  2727.38505  2727.789125 2728.199175
 2728.6147   2729.035175 2729.460575 2729.8904   2730.32465  2730.7628
 2731.204325 2731.649225 2732.097025 2732.5472   2732.99925  2733.453175
 2733.90895  2734.365575 2734.82255  2735.27985  2735.736475 2736.192425
 2736.647175 2737.10025  2737.552175 2738.00245  2738.4511   2738.89815
 2739.3436   2739.787975 2740.2308  ]","[35.05 35.14 35.23 35.32 35.41 35.51 35.6  35.7  35.8  35.91 36.01 36.12
 36.23 36.35 36.46 36.58 36.7  36.82 36.95 37.08 37.21 37.34 37.48 37.62
 37.76 37.9  38.05 38.19 38.34 38.49 38.64 38.8  38.95 39.1  39.26 39.42
 39.57 39.73 39.89 40.05 40.21 40.36 40.52 40.68 40.84 41.   41.16 41.32
 41.48 41.63 41.79]","[2720.35105  2720.620575 2720.896175 2721.17785  2721.466075 2721.760875
 2722.06225  2722.3707   2722.686225 2723.0088   2723.338425 2723.675075
 2724.01825  2724.36795  2724.72415  2725.086325 2725.454475 2725.828625
 2726.20875  2726.59485  2726.98695  2727.38505  2727.789125 2728.199175
 2728.6147   2729.035175 2729.460575 2729.8904   2730.32465  2730.7628
 2731.204325 2731.649225 2732.097025 2732.5472   2732.99925  2733.453175
 2733.90895  2734.365575 2734.82255  2735.27985  2735.736475 2736.192425
 2736.647175 2737.10025  2737.552175 2738.00245  2738.4511   2738.89815
 2739.3436   2739.787975 2740.2308  ]","[253.87 253.96 254.05 254.14 254.23 254.33 254.42 254.52 254.62 254.73
 254.83 254.94 255.05 255.17 255.28 255.4  255.52 255.64 255.77 255.9
 256.03 256.16 256.3  256.44 256.58 256.72 256.87 257.01 257.16 257.31
 257.46 257.62 257.77 257.92 258.08 258.24 258.39 258.55 258.71 258.87
 259.03 259.18 259.34 259.5  259.66 259.82 259.98 260.14 260.3  260.45
 260.61]",0.0,6
2390,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2797.175575 2797.535375 2797.89065  2798.2409   2798.586125 2798.926325
 2799.2615   2799.59165  2799.916775 2800.236875 2800.55195  2800.8615
 2801.16555  2801.464575 2801.758575 2802.0476   2802.33215  2802.612225
 2802.88785  2803.160025 2803.429275 2803.695625 2803.9596   2804.221725
 2804.482475 2804.74235  2805.001375 2805.26005  2805.5189   2805.777925
 2806.0376   2806.29895  2806.561975 2806.827175 2807.095075 2807.366175
 2807.640975 2807.919475 2808.202175 2808.489575 2808.782675 2809.081475
 2809.386475 2809.6982   2810.01665  2810.3428   2810.677175 2811.019775
 2811.371075 2811.731575 2812.101275]","[63.2  63.35 63.49 63.64 63.78 63.92 64.06 64.2  64.33 64.47 64.6  64.73
 64.85 64.98 65.1  65.23 65.35 65.47 65.59 65.71 65.83 65.94 66.06 66.18
 66.3  66.41 66.53 66.65 66.76 66.88 67.   67.12 67.24 67.36 67.49 67.61
 67.74 67.87 68.   68.13 68.26 68.4  68.54 68.68 68.82 68.97 69.12 69.27
 69.43 69.59 69.76]","[2797.175575 2797.535375 2797.89065  2798.2409   2798.586125 2798.926325
 2799.2615   2799.59165  2799.916775 2800.236875 2800.55195  2800.8615
 2801.16555  2801.464575 2801.758575 2802.0476   2802.33215  2802.612225
 2802.88785  2803.160025 2803.429275 2803.695625 2803.9596   2804.221725
 2804.482475 2804.74235  2805.001375 2805.26005  2805.5189   2805.777925
 2806.0376   2806.29895  2806.561975 2806.827175 2807.095075 2807.366175
 2807.640975 2807.919475 2808.202175 2808.489575 2808.782675 2809.081475
 2809.386475 2809.6982   2810.01665  2810.3428   2810.677175 2811.019775
 2811.371075 2811.731575 2812.101275]","[282.02 282.17 282.31 282.46 282.6  282.74 282.88 283.02 283.15 283.29
 283.42 283.55 283.67 283.8  283.92 284.05 284.17 284.29 284.41 284.53
 284.65 284.76 284.88 285.   285.12 285.23 285.35 285.47 285.58 285.7
 285.82 285.94 286.06 286.18 286.31 286.43 286.56 286.69 286.82 286.95
 287.08 287.22 287.36 287.5  287.64 287.79 287.94 288.09 288.25 288.41
 288.58]",0.0,6
2449,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2753.735925 2754.165725 2754.5969   2755.02895  2755.462375 2755.896675
 2756.331375 2756.766975 2757.202975 2757.63885  2758.0746   2758.509725
 2758.944225 2759.378125 2759.810925 2760.242625 2760.673225 2761.10275
 2761.531225 2761.95865  2762.385025 2762.81035  2763.23465  2763.658425
 2764.081675 2764.503925 2764.925675 2765.346925 2765.767175 2766.186925
 2766.606675 2767.026425 2767.4462   2767.866025 2768.2864   2768.70785
 2769.130375 2769.55395  2769.9786   2770.404325 2770.8316   2771.260425
 2771.6908   2772.1227   2772.555625 2772.9901   2773.426125 2773.863675
 2774.30325  2774.744375 2775.187025]","[47.25 47.41 47.57 47.74 47.9  48.06 48.22 48.38 48.54 48.7  48.86 49.02
 49.18 49.34 49.5  49.66 49.82 49.98 50.14 50.3  50.46 50.62 50.78 50.94
 51.09 51.25 51.41 51.57 51.72 51.88 52.04 52.2  52.36 52.51 52.67 52.83
 52.99 53.15 53.31 53.48 53.64 53.8  53.97 54.13 54.3  54.46 54.63 54.79
 54.96 55.13 55.3 ]","[2753.735925 2754.165725 2754.5969   2755.02895  2755.462375 2755.896675
 2756.331375 2756.766975 2757.202975 2757.63885  2758.0746   2758.509725
 2758.944225 2759.378125 2759.810925 2760.242625 2760.673225 2761.10275
 2761.531225 2761.95865  2762.385025 2762.81035  2763.23465  2763.658425
 2764.081675 2764.503925 2764.925675 2765.346925 2765.767175 2766.186925
 2766.606675 2767.026425 2767.4462   2767.866025 2768.2864   2768.70785
 2769.130375 2769.55395  2769.9786   2770.404325 2770.8316   2771.260425
 2771.6908   2772.1227   2772.555625 2772.9901   2773.426125 2773.863675
 2774.30325  2774.744375 2775.187025]","[266.07 266.23 266.39 266.56 266.72 266.88 267.04 267.2  267.36 267.52
 267.68 267.84 268.   268.16 268.32 268.48 268.64 268.8  268.96 269.12
 269.28 269.44 269.6  269.76 269.91 270.07 270.23 270.39 270.54 270.7
 270.86 271.02 271.18 271.33 271.49 271.65 271.81 271.97 272.13 272.3
 272.46 272.62 272.79 272.95 273.12 273.28 273.45 273.61 273.78 273.95
 274.12]",0.0,6
2484,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2669.86705  2670.1997   2670.53175  2670.8627   2671.19305  2671.5228
 2671.85095  2672.1775   2672.50245  2672.8258   2673.14705  2673.4657
 2673.782225 2674.096125 2674.40695  2674.7147   2675.01985  2675.322425
 2675.62195  2675.91895  2676.21395  2676.50695  2676.79795  2677.086425
 2677.372375 2677.6558   2677.936175 2678.2135   2678.487775 2678.758475
 2679.0256   2679.289175 2679.5487   2679.804675 2680.057125 2680.30555
 2680.550425 2680.79175  2681.02905  2681.261825 2681.49005  2681.714225
 2681.93435  2682.15045  2682.36255  2682.57065  2682.775275 2682.97695
 2683.175675 2683.37195  2683.5658  ]","[21.31 21.39 21.47 21.55 21.64 21.72 21.8  21.88 21.96 22.05 22.13 22.21
 22.29 22.37 22.45 22.54 22.61 22.69 22.77 22.85 22.93 23.01 23.08 23.16
 23.23 23.31 23.38 23.45 23.53 23.6  23.67 23.74 23.8  23.87 23.94 24.01
 24.07 24.13 24.2  24.26 24.32 24.37 24.43 24.48 24.54 24.59 24.64 24.69
 24.74 24.79 24.84]","[2669.86705  2670.1997   2670.53175  2670.8627   2671.19305  2671.5228
 2671.85095  2672.1775   2672.50245  2672.8258   2673.14705  2673.4657
 2673.782225 2674.096125 2674.40695  2674.7147   2675.01985  2675.322425
 2675.62195  2675.91895  2676.21395  2676.50695  2676.79795  2677.086425
 2677.372375 2677.6558   2677.936175 2678.2135   2678.487775 2678.758475
 2679.0256   2679.289175 2679.5487   2679.804675 2680.057125 2680.30555
 2680.550425 2680.79175  2681.02905  2681.261825 2681.49005  2681.714225
 2681.93435  2682.15045  2682.36255  2682.57065  2682.775275 2682.97695
 2683.175675 2683.37195  2683.5658  ]","[240.13 240.21 240.29 240.37 240.46 240.54 240.62 240.7  240.78 240.87
 240.95 241.03 241.11 241.19 241.27 241.36 241.43 241.51 241.59 241.67
 241.75 241.83 241.9  241.98 242.05 242.13 242.2  242.27 242.35 242.42
 242.49 242.56 242.62 242.69 242.76 242.83 242.89 242.95 243.02 243.08
 243.14 243.19 243.25 243.3  243.36 243.41 243.46 243.51 243.56 243.61
 243.66]",0.0,6
2509,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2731.4023   2731.7394   2732.0815   2732.428075 2732.779125 2733.13515
 2733.49565  2733.860625 2734.23005  2734.603425 2734.980225 2735.36045
 2735.7441   2736.130675 2736.520175 2736.9121   2737.30645  2737.703725
 2738.10395  2738.50715  2738.913325 2739.322475 2739.734625 2740.149775
 2740.5679   2740.988475 2741.4115   2741.836975 2742.2644   2742.69325
 2743.123525 2743.555225 2743.98785  2744.4214   2744.855875 2745.290775
 2745.7261   2746.16185  2746.597525 2747.033125 2747.46865  2747.9041
 2748.339475 2748.7748   2749.210075 2749.6453   2750.079975 2750.514125
 2750.94825  2751.381825 2751.81485 ]","[38.57 38.69 38.8  38.92 39.04 39.16 39.29 39.41 39.54 39.67 39.8  39.93
 40.06 40.2  40.33 40.47 40.61 40.75 40.89 41.04 41.19 41.33 41.48 41.63
 41.79 41.94 42.09 42.25 42.4  42.56 42.71 42.87 43.03 43.18 43.34 43.5
 43.66 43.82 43.98 44.13 44.29 44.45 44.61 44.76 44.92 45.08 45.23 45.39
 45.54 45.7  45.86]","[2731.4023   2731.7394   2732.0815   2732.428075 2732.779125 2733.13515
 2733.49565  2733.860625 2734.23005  2734.603425 2734.980225 2735.36045
 2735.7441   2736.130675 2736.520175 2736.9121   2737.30645  2737.703725
 2738.10395  2738.50715  2738.913325 2739.322475 2739.734625 2740.149775
 2740.5679   2740.988475 2741.4115   2741.836975 2742.2644   2742.69325
 2743.123525 2743.555225 2743.98785  2744.4214   2744.855875 2745.290775
 2745.7261   2746.16185  2746.597525 2747.033125 2747.46865  2747.9041
 2748.339475 2748.7748   2749.210075 2749.6453   2750.079975 2750.514125
 2750.94825  2751.381825 2751.81485 ]","[257.39 257.51 257.62 257.74 257.86 257.98 258.11 258.23 258.36 258.49
 258.62 258.75 258.88 259.02 259.15 259.29 259.43 259.57 259.71 259.86
 260.01 260.15 260.3  260.45 260.61 260.76 260.91 261.07 261.22 261.38
 261.53 261.69 261.85 262.   262.16 262.32 262.48 262.64 262.8  262.95
 263.11 263.27 263.43 263.58 263.74 263.9  264.05 264.21 264.36 264.52
 264.68]",0.0,6
2592,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2691.38255  2691.601025 2691.818575 2692.0352   2692.251375 2692.467625
 2692.683475 2692.8994   2693.1159   2693.332475 2693.5491   2693.765775
 2693.982475 2694.1987   2694.414475 2694.630275 2694.8461   2695.062475
 2695.2794   2695.496875 2695.715925 2695.93655  2696.15875  2696.38305
 2696.608925 2696.83635  2697.065825 2697.29685  2697.5294   2697.763475
 2697.999075 2698.236175 2698.474275 2698.713375 2698.953475 2699.19455
 2699.436075 2699.67755  2699.91895  2700.159775 2700.399525 2700.638175
 2700.875725 2701.1122   2701.3476   2701.581925 2701.815225 2702.0475
 2702.27875  2702.5095   2702.73975 ]","[26.31 26.37 26.43 26.49 26.55 26.61 26.67 26.73 26.78 26.84 26.9  26.96
 27.02 27.08 27.14 27.2  27.25 27.31 27.37 27.43 27.5  27.56 27.62 27.69
 27.75 27.81 27.88 27.94 28.01 28.07 28.14 28.2  28.27 28.33 28.4  28.46
 28.53 28.59 28.66 28.72 28.79 28.85 28.91 28.98 29.04 29.1  29.16 29.23
 29.29 29.35 29.42]","[2691.38255  2691.601025 2691.818575 2692.0352   2692.251375 2692.467625
 2692.683475 2692.8994   2693.1159   2693.332475 2693.5491   2693.765775
 2693.982475 2694.1987   2694.414475 2694.630275 2694.8461   2695.062475
 2695.2794   2695.496875 2695.715925 2695.93655  2696.15875  2696.38305
 2696.608925 2696.83635  2697.065825 2697.29685  2697.5294   2697.763475
 2697.999075 2698.236175 2698.474275 2698.713375 2698.953475 2699.19455
 2699.436075 2699.67755  2699.91895  2700.159775 2700.399525 2700.638175
 2700.875725 2701.1122   2701.3476   2701.581925 2701.815225 2702.0475
 2702.27875  2702.5095   2702.73975 ]","[245.13 245.19 245.25 245.31 245.37 245.43 245.49 245.55 245.6  245.66
 245.72 245.78 245.84 245.9  245.96 246.02 246.07 246.13 246.19 246.25
 246.32 246.38 246.44 246.51 246.57 246.63 246.7  246.76 246.83 246.89
 246.96 247.02 247.09 247.15 247.22 247.28 247.35 247.41 247.48 247.54
 247.61 247.67 247.73 247.8  247.86 247.92 247.98 248.05 248.11 248.17
 248.24]",0.0,6
2636,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2683.7522   2684.033825 2684.3134   2684.5909   2684.866325 2685.1397
 2685.411025 2685.680325 2685.9476   2686.21285  2686.476075 2686.73725
 2686.995875 2687.25195  2687.506    2687.757525 2688.006525 2688.253525
 2688.498525 2688.74205  2688.984125 2689.224725 2689.46435  2689.703025
 2689.940725 2690.176925 2690.411625 2690.644825 2690.876025 2691.105725
 2691.333925 2691.56065  2691.7864   2692.011175 2692.234975 2692.4578
 2692.67965  2692.900525 2693.120425 2693.338825 2693.5557   2693.77105
 2693.984875 2694.197175 2694.40745  2694.6162   2694.82345  2695.0292
 2695.233475 2695.436275 2695.638075]","[24.18 24.25 24.32 24.39 24.46 24.52 24.59 24.66 24.73 24.79 24.86 24.93
 24.99 25.06 25.12 25.19 25.25 25.32 25.38 25.45 25.52 25.59 25.65 25.72
 25.79 25.86 25.92 25.99 26.05 26.12 26.18 26.25 26.31 26.37 26.44 26.5
 26.56 26.62 26.68 26.74 26.8  26.86 26.92 26.98 27.04 27.09 27.15 27.21
 27.26 27.32 27.38]","[2683.7522   2684.033825 2684.3134   2684.5909   2684.866325 2685.1397
 2685.411025 2685.680325 2685.9476   2686.21285  2686.476075 2686.73725
 2686.995875 2687.25195  2687.506    2687.757525 2688.006525 2688.253525
 2688.498525 2688.74205  2688.984125 2689.224725 2689.46435  2689.703025
 2689.940725 2690.176925 2690.411625 2690.644825 2690.876025 2691.105725
 2691.333925 2691.56065  2691.7864   2692.011175 2692.234975 2692.4578
 2692.67965  2692.900525 2693.120425 2693.338825 2693.5557   2693.77105
 2693.984875 2694.197175 2694.40745  2694.6162   2694.82345  2695.0292
 2695.233475 2695.436275 2695.638075]","[243.   243.07 243.14 243.21 243.28 243.34 243.41 243.48 243.55 243.61
 243.68 243.75 243.81 243.88 243.94 244.01 244.07 244.14 244.2  244.27
 244.34 244.41 244.47 244.54 244.61 244.68 244.74 244.81 244.87 244.94
 245.   245.07 245.13 245.19 245.26 245.32 245.38 245.44 245.5  245.56
 245.62 245.68 245.74 245.8  245.86 245.91 245.97 246.03 246.08 246.14
 246.2 ]",0.0,6
2841,"[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7
 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5
 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5. ]","[2658.082425 2658.415625 2658.748325 2659.080525 2659.41225  2659.744
 2660.075775 2660.4081   2660.741475 2661.0754   2661.409875 2661.7449
 2662.08045  2662.416525 2662.753125 2663.09025  2663.4279   2663.766575
 2664.105775 2664.4455   2664.78625  2665.128025 2665.470825 2665.814125
 2666.1574   2666.500625 2666.843275 2667.184325 2667.523775 2667.8616
 2668.1968   2668.5294   2668.8599   2669.187825 2669.513175 2669.835925
 2670.155575 2670.472125 2670.785075 2671.093925 2671.39815  2671.697225
 2671.99065  2672.2779   2672.558975 2672.833925 2673.10275  2673.36545
 2673.622075 2673.87265  2674.117175]","[18.32 18.39 18.46 18.54 18.61 18.68 18.76 18.83 18.91 18.98 19.06 19.14
 19.21 19.29 19.37 19.45 19.53 19.61 19.69 19.77 19.85 19.93 20.01 20.1
 20.18 20.26 20.34 20.42 20.51 20.59 20.67 20.75 20.83 20.91 20.98 21.06
 21.14 21.22 21.29 21.37 21.44 21.51 21.58 21.65 21.72 21.79 21.85 21.91
 21.98 22.04 22.09]","[2658.082425 2658.415625 2658.748325 2659.080525 2659.41225  2659.744
 2660.075775 2660.4081   2660.741475 2661.0754   2661.409875 2661.7449
 2662.08045  2662.416525 2662.753125 2663.09025  2663.4279   2663.766575
 2664.105775 2664.4455   2664.78625  2665.128025 2665.470825 2665.814125
 2666.1574   2666.500625 2666.843275 2667.184325 2667.523775 2667.8616
 2668.1968   2668.5294   2668.8599   2669.187825 2669.513175 2669.835925
 2670.155575 2670.472125 2670.785075 2671.093925 2671.39815  2671.697225
 2671.99065  2672.2779   2672.558975 2672.833925 2673.10275  2673.36545
 2673.622075 2673.87265  2674.117175]","[237.14 237.21 237.28 237.36 237.43 237.5  237.58 237.65 237.73 237.8
 237.88 237.96 238.03 238.11 238.19 238.27 238.35 238.43 238.51 238.59
 238.67 238.75 238.83 238.92 239.   239.08 239.16 239.24 239.33 239.41
 239.49 239.57 239.65 239.73 239.8  239.88 239.96 240.04 240.11 240.19
 240.26 240.33 240.4  240.47 240.54 240.61 240.67 240.73 240.8  240.86
 240.91]",0.0,6
